MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,10,BP,ISM,M1,SALINITY,,6.99,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,8,M ,ISM,M1,SALINITY,,6.31,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,9,M ,ISM,M1,SALINITY,,6.74,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,11,M ,ISM,M1,SALINITY,,7.18,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,12,M ,ISM,M1,SALINITY,,7.24,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,4,M ,ISM,M1,SALINITY,,9.14,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,5,M ,ISM,M1,SALINITY,,9.72,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,2,M ,ISM,M1,SALINITY,,4.42,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,3,M ,ISM,M1,SALINITY,,4.92,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,4,M ,ISM,M1,SALINITY,,5.3,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,5,M ,ISM,M1,SALINITY,,5.88,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,6,M ,ISM,M1,SALINITY,,6,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,7,M ,ISM,M1,SALINITY,,6.12,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,15.2,B ,ISM,M1,SALINITY,,7.37,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,0.5,S ,ISM,M1,SALINITY,,4.71,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,5,AP,ISM,M1,SALINITY,,5.45,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,13,M ,ISM,M1,SALINITY,,7.3,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,14,M ,ISM,M1,SALINITY,,7.3,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,1,M ,ISM,M1,SALINITY,,4.71,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,2,M ,ISM,M1,SALINITY,,4.96,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,0.5,S ,ISM,M1,SALINITY,,4.39,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,1,AP,ISM,M1,SALINITY,,4.35,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,3,AP,ISM,M1,SALINITY,,9.01,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,10,M ,ISM,M1,SALINITY,,12.93,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,12,M ,ISM,M1,SALINITY,,13.46,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,1,M ,ISM,M1,SALINITY,,8.89,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,2,M ,ISM,M1,SALINITY,,8.95,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,11,BP,ISM,M1,SALINITY,,13.39,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,6,M ,ISM,M1,SALINITY,,10.37,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,7,M ,ISM,M1,SALINITY,,11.21,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,8,M ,ISM,M1,SALINITY,,11.28,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,9,M ,ISM,M1,SALINITY,,11.67,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117660,BAY271,TWQM,TRIB,MDDNR,MDDNR,RET2.4,12/8/97,8:35:00,14,6.5,9.5,13,B ,ISM,M1,SALINITY,,13.46,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,0.5,S ,ISM,M1,SALINITY,,8.89,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,10,BP,ISM,M1,SALINITY,,6.74,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,3,M ,ISM,M1,SALINITY,,4.96,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,4,M ,ISM,M1,SALINITY,,5.39,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,6,M ,ISM,M1,SALINITY,,5.82,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,7,M ,ISM,M1,SALINITY,,6.12,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,14.6,B ,ISM,M1,SALINITY,,7.12,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,8,M ,ISM,M1,SALINITY,,6.19,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,9,M ,ISM,M1,SALINITY,,6.56,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,11,M ,ISM,M1,SALINITY,,6.99,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,12,M ,ISM,M1,SALINITY,,6.74,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,128371,BAY249,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/21/96,8:35:00,15.4,11.5,13.5,0.5,S ,ISM,M1,SALINITY,,1.65,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,13,M ,ISM,M1,SALINITY,,6.87,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,14,M ,ISM,M1,SALINITY,,6.87,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116104,BAY262,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/14/97,8:30:00,14.3,2.5,6.5,8,BP,ISM,M1,SALINITY,,8.38,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116104,BAY262,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/14/97,8:30:00,14.3,2.5,6.5,9,M ,ISM,M1,SALINITY,,8.63,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116104,BAY262,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/14/97,8:30:00,14.3,2.5,6.5,10,M ,ISM,M1,SALINITY,,8.69,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116104,BAY262,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/14/97,8:30:00,14.3,2.5,6.5,11,M ,ISM,M1,SALINITY,,8.89,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116104,BAY262,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/14/97,8:30:00,14.3,2.5,6.5,12,M ,ISM,M1,SALINITY,,9.01,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116104,BAY262,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/14/97,8:30:00,14.3,2.5,6.5,13.3,B ,ISM,M1,SALINITY,,9.4,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,0.5,S ,ISM,M1,SALINITY,,6.93,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,5,AP,ISM,M1,SALINITY,,7.24,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116104,BAY262,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/14/97,8:30:00,14.3,2.5,6.5,13,M ,ISM,M1,SALINITY,,9.27,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,1,M ,ISM,M1,SALINITY,,6.93,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,2,M ,ISM,M1,SALINITY,,6.99,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,3,M ,ISM,M1,SALINITY,,7.05,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,10,BP,ISM,M1,SALINITY,,7.62,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,4,M ,ISM,M1,SALINITY,,7.12,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,6,M ,ISM,M1,SALINITY,,7.3,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,7,M ,ISM,M1,SALINITY,,7.43,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,8,M ,ISM,M1,SALINITY,,7.56,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,14.4,B ,ISM,M1,SALINITY,,8.31,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,9,M ,ISM,M1,SALINITY,,7.62,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,11,M ,ISM,M1,SALINITY,,7.81,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,12,M ,ISM,M1,SALINITY,,7.81,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,13,M ,ISM,M1,SALINITY,,7.87,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,0.5,S ,ISM,M1,SALINITY,,7.18,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116271,BAY263,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/28/97,8:37:00,15.4,,,14,M ,ISM,M1,SALINITY,,8.31,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,1,M ,ISM,M1,SALINITY,,7.37,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,2,M ,ISM,M1,SALINITY,,7.56,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,3,M ,ISM,M1,SALINITY,,7.56,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,5,AP,ISM,M1,SALINITY,,8.12,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,4,M ,ISM,M1,SALINITY,,7.87,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,6,M ,ISM,M1,SALINITY,,8.19,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,7,M ,ISM,M1,SALINITY,,8.25,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,8,M ,ISM,M1,SALINITY,,8.44,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,9,BP,ISM,M1,SALINITY,,8.76,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,10,M ,ISM,M1,SALINITY,,9.01,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,11,M ,ISM,M1,SALINITY,,9.14,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,12,M ,ISM,M1,SALINITY,,9.2,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,13,M ,ISM,M1,SALINITY,,9.46,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,0.5,AP,ISM,M1,SALINITY,,7.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,0.5,S ,ISM,M1,SALINITY,,7.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,3,BP,ISM,M1,SALINITY,,8.12,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116451,BAY264,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/11/97,8:30:00,14.3,,,13.3,B ,ISM,M1,SALINITY,,9.53,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,1,M ,ISM,M1,SALINITY,,7.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,2,M ,ISM,M1,SALINITY,,8.12,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,4,M ,ISM,M1,SALINITY,,8.38,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,5,M ,ISM,M1,SALINITY,,8.44,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,6,M ,ISM,M1,SALINITY,,8.76,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,7,M ,ISM,M1,SALINITY,,8.89,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,8,M ,ISM,M1,SALINITY,,9.01,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,9,M ,ISM,M1,SALINITY,,9.2,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,13.7,B ,ISM,M1,SALINITY,,9.98,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,10,M ,ISM,M1,SALINITY,,9.53,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,11,M ,ISM,M1,SALINITY,,9.85,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,12,M ,ISM,M1,SALINITY,,9.91,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116638,BAY265,TWQM,TRIB,MDDNR,MDDNR,RET2.4,8/25/97,8:25:00,14.7,1.5,1.5,13,M ,ISM,M1,SALINITY,,9.91,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,10,BP,ISM,M1,SALINITY,,10.69,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,9,M ,ISM,M1,SALINITY,,10.63,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,11,M ,ISM,M1,SALINITY,,11.15,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,12,M ,ISM,M1,SALINITY,,11.28,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,13,M ,ISM,M1,SALINITY,,11.47,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,5,AP,ISM,M1,SALINITY,,10.11,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,1,M ,ISM,M1,SALINITY,,9.46,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,2,M ,ISM,M1,SALINITY,,9.59,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,3,M ,ISM,M1,SALINITY,,9.65,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,0.5,S ,ISM,M1,SALINITY,,9.53,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,116797,BAY266,TWQM,TRIB,MDDNR,MDDNR,RET2.4,9/8/97,8:35:00,15,,,14,B ,ISM,M1,SALINITY,,11.54,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117303,BAY269,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/27/97,8:40:00,16,,,0.5,S ,ISM,M1,SALINITY,,10.3,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,14.5,B ,ISM,M1,SALINITY,,11.34,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,10,BP,ISM,M1,SALINITY,,11.21,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,11,M ,ISM,M1,SALINITY,,11.28,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,12,M ,ISM,M1,SALINITY,,11.34,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,13,M ,ISM,M1,SALINITY,,11.34,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,14,M ,ISM,M1,SALINITY,,11.41,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,5,AP,ISM,M1,SALINITY,,10.76,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,6,M ,ISM,M1,SALINITY,,11.08,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,117160,BAY268,TWQM,TRIB,MDDNR,MDDNR,RET2.4,10/14/97,8:48:00,15.5,,,7,M ,ISM,M1,SALINITY,,11.02,PPT,F01 ,,,,,,38.3626,-76.99063,T3
