MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
RET2.4,112854,BAY532,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/12/10,8:15:00,15.3,,,7,M ,ISM,M1,SALINITY,,9.33,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112854,BAY532,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/12/10,8:15:00,15.3,,,9,M ,ISM,M1,SALINITY,,9.33,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112854,BAY532,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/12/10,8:15:00,15.3,,,5,AP,ISM,M1,SALINITY,,9.33,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112882,BAY531,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/22/10,8:35:00,15.2,,,11,M ,ISM,M1,SALINITY,,8.25,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112882,BAY531,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/22/10,8:35:00,15.2,,,12,M ,ISM,M1,SALINITY,,8.25,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112882,BAY531,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/22/10,8:35:00,15.2,,,13,M ,ISM,M1,SALINITY,,8.25,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112854,BAY532,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/12/10,8:15:00,15.3,,,1,M ,ISM,M1,SALINITY,,9.08,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112854,BAY532,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/12/10,8:15:00,15.3,,,0.5,S ,ISM,M1,SALINITY,,9.08,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,112882,BAY531,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/22/10,8:35:00,15.2,,,14.2,B ,ISM,M1,SALINITY,,8.25,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,10,BP,ISM,M1,SALINITY,,6.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,3,M ,ISM,M1,SALINITY,,6.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,4,M ,ISM,M1,SALINITY,,6.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,6,M ,ISM,M1,SALINITY,,6.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,7,M ,ISM,M1,SALINITY,,6.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,15.5,B ,ISM,M1,SALINITY,,6.87,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,8,M ,ISM,M1,SALINITY,,6.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,9,M ,ISM,M1,SALINITY,,6.68,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,11,M ,ISM,M1,SALINITY,,6.74,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,12,M ,ISM,M1,SALINITY,,6.8,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,0.5,S ,ISM,M1,SALINITY,,3.47,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,13,M ,ISM,M1,SALINITY,,6.8,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,14,M ,ISM,M1,SALINITY,,6.8,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111249,BAY319,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/22/00,8:38:00,19,,,15,M ,ISM,M1,SALINITY,,6.87,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,1,M ,ISM,M1,SALINITY,,3.47,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,3,AP,ISM,M1,SALINITY,,3.65,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,2,M ,ISM,M1,SALINITY,,3.47,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,4,M ,ISM,M1,SALINITY,,4.24,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,5,M ,ISM,M1,SALINITY,,4.78,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,6,M ,ISM,M1,SALINITY,,5.39,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,7,BP,ISM,M1,SALINITY,,5.76,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,8,M ,ISM,M1,SALINITY,,5.76,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,9,M ,ISM,M1,SALINITY,,5.88,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,10,M ,ISM,M1,SALINITY,,5.94,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,11,M ,ISM,M1,SALINITY,,6.19,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,14.4,B ,ISM,M1,SALINITY,,6.49,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,124112,BAY462,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/9/07,9:00:00,15,,,0.5,S ,ISM,M1,SALINITY,,6.99,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,124112,BAY462,TWQM,TRIB,MDDNR,MDDNR,RET2.4,7/9/07,9:00:00,15,,,5,AP,ISM,M1,SALINITY,,7.56,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,111470,BAY320,TWQM,TRIB,MDDNR,MDDNR,RET2.4,6/12/00,8:45:00,15.4,3.5,5.5,12,M ,ISM,M1,SALINITY,,6.43,PPT,F01 ,,,,,,38.3626,-76.99063,T3
