Station Name,Date,Depth,Parameter,Concentration,Unit
WW91,6/20/15,3,"Salinity, (ppt) - 00480",21.25,ppt
WW91,7/18/15,0.5,"Salinity, (ppt) - 00480",18.75,ppt
WW91,7/18/15,3,"Salinity, (ppt) - 00480",20,ppt
WW91,8/1/15,0.5,"Salinity, (ppt) - 00480",17.5,ppt
WW91,8/1/15,3,"Salinity, (ppt) - 00480",20,ppt
WW91,8/8/15,0.5,"Salinity, (ppt) - 00480",18.5,ppt
WW91,8/8/15,3,"Salinity, (ppt) - 00480",20,ppt
WW91,8/22/15,0.5,"Salinity, (ppt) - 00480",21,ppt
WW91,8/22/15,3,"Salinity, (ppt) - 00480",23,ppt
WW91,9/7/15,0.5,"Salinity, (ppt) - 00480",26,ppt
WW91,9/7/15,3,"Salinity, (ppt) - 00480",26,ppt
WW91,9/19/15,0.5,"Salinity, (ppt) - 00480",24,ppt
WW91,9/19/15,3,"Salinity, (ppt) - 00480",24.5,ppt
WW91,10/16/15,0.5,"Salinity, (ppt) - 00480",24.5,ppt
WW91,10/16/15,3,"Salinity, (ppt) - 00480",25,ppt
WW89,5/8/15,0.5,"Salinity, (ppt) - 00480",17,ppt
WW89,5/8/15,3,"Salinity, (ppt) - 00480",17.5,ppt
WW89,5/22/15,3,"Salinity, (ppt) - 00480",21.5,ppt
WW89,6/6/15,3,"Salinity, (ppt) - 00480",21.25,ppt
WW89,6/19/15,0.5,"Salinity, (ppt) - 00480",18.75,ppt
WW89,6/19/15,3,"Salinity, (ppt) - 00480",20.5,ppt
WW89,7/4/15,0.5,"Salinity, (ppt) - 00480",16.5,ppt
WW89,7/4/15,3,"Salinity, (ppt) - 00480",19,ppt
WW89,7/18/15,0.5,"Salinity, (ppt) - 00480",18.5,ppt
WW89,7/18/15,3,"Salinity, (ppt) - 00480",20.5,ppt
WW89,8/1/15,0.5,"Salinity, (ppt) - 00480",17,ppt
WW89,8/1/15,3,"Salinity, (ppt) - 00480",20,ppt
WW89,8/8/15,0.5,"Salinity, (ppt) - 00480",19,ppt
WW89,8/8/15,3,"Salinity, (ppt) - 00480",20.5,ppt
WW89,8/22/15,0.5,"Salinity, (ppt) - 00480",20,ppt
WW89,8/22/15,3,"Salinity, (ppt) - 00480",22.75,ppt
WW89,9/4/15,0.5,"Salinity, (ppt) - 00480",25.5,ppt
WW89,9/4/15,3,"Salinity, (ppt) - 00480",26.5,ppt
WW89,9/19/15,0.5,"Salinity, (ppt) - 00480",22.5,ppt
WW89,9/19/15,3,"Salinity, (ppt) - 00480",25,ppt
WW89,10/17/15,0.5,"Salinity, (ppt) - 00480",24.5,ppt
WW89,10/17/15,3,"Salinity, (ppt) - 00480",25,ppt
WW89,5/11/16,0.5,"Salinity, (ppt) - 00480",14.5,ppt
WW89,5/13/16,0.5,"Salinity, (ppt) - 00480",15.5,ppt
WW89,5/13/16,3,"Salinity, (ppt) - 00480",17,ppt
WW89,5/28/16,0.5,"Salinity, (ppt) - 00480",16,ppt
WW89,5/28/16,3,"Salinity, (ppt) - 00480",19,ppt
WW89,6/11/16,0.5,"Salinity, (ppt) - 00480",18.5,ppt
WW89,6/11/16,3,"Salinity, (ppt) - 00480",20,ppt
WW89,7/9/16,0.5,"Salinity, (ppt) - 00480",17.5,ppt
WW89,7/9/16,3,"Salinity, (ppt) - 00480",20,ppt
WW89,7/21/16,0.5,"Salinity, (ppt) - 00480",20,ppt
WW89,7/21/16,3,"Salinity, (ppt) - 00480",20,ppt
WW89,8/7/16,0.5,"Salinity, (ppt) - 00480",21.5,ppt
WW89,8/7/16,3,"Salinity, (ppt) - 00480",20.5,ppt
WW89,8/21/16,0.5,"Salinity, (ppt) - 00480",21,ppt
WW89,8/21/16,3,"Salinity, (ppt) - 00480",22,ppt
WW89,8/28/16,0.5,"Salinity, (ppt) - 00480",22,ppt
WW89,8/28/16,3,"Salinity, (ppt) - 00480",21.5,ppt
WW89,9/10/16,0.5,"Salinity, (ppt) - 00480",21.5,ppt
WW89,9/10/16,3,"Salinity, (ppt) - 00480",22,ppt
WW89,9/23/16,0.5,"Salinity, (ppt) - 00480",23.5,ppt
WW89,9/23/16,3,"Salinity, (ppt) - 00480",23.5,ppt
WW89,10/9/16,0.5,"Salinity, (ppt) - 00480",24.5,ppt
WW89,10/9/16,3,"Salinity, (ppt) - 00480",24.5,ppt
WW89,10/21/16,3,"Salinity, (ppt) - 00480",26.5,ppt
WW91,5/14/16,0.5,"Salinity, (ppt) - 00480",13.5,ppt
WW91,5/29/16,0.5,"Salinity, (ppt) - 00480",8,ppt
WW91,5/29/16,3,"Salinity, (ppt) - 00480",13,ppt
WW91,6/11/16,0.5,"Salinity, (ppt) - 00480",16,ppt
WW91,6/11/16,3,"Salinity, (ppt) - 00480",19,ppt
WW91,7/23/16,0.5,"Salinity, (ppt) - 00480",19,ppt
WW91,7/23/16,3,"Salinity, (ppt) - 00480",20,ppt
WW91,8/6/16,0.5,"Salinity, (ppt) - 00480",20,ppt
WW91,8/6/16,3,"Salinity, (ppt) - 00480",20,ppt
WW91,8/21/16,0.5,"Salinity, (ppt) - 00480",21,ppt
WW91,8/21/16,3,"Salinity, (ppt) - 00480",22.5,ppt
WW91,8/27/16,0.5,"Salinity, (ppt) - 00480",22.5,ppt
WW91,8/27/16,3,"Salinity, (ppt) - 00480",23.5,ppt
WW91,9/10/16,0.5,"Salinity, (ppt) - 00480",21.5,ppt
WW91,9/10/16,3,"Salinity, (ppt) - 00480",22,ppt
WW91,9/24/16,0.5,"Salinity, (ppt) - 00480",22.5,ppt
WW91,9/24/16,3,"Salinity, (ppt) - 00480",22.5,ppt
WW91,10/8/16,0.5,"Salinity, (ppt) - 00480",23.5,ppt
WW91,10/8/16,3,"Salinity, (ppt) - 00480",23,ppt
WW91,10/22/16,0.5,"Salinity, (ppt) - 00480",25,ppt
WW91,10/22/16,3,"Salinity, (ppt) - 00480",25,ppt
WW89,5/13/17,0.5,"Salinity, (ppt) - 00480",6,ppt
WW89,5/13/17,3,"Salinity, (ppt) - 00480",16,ppt
WW91,5/13/17,0.5,"Salinity, (ppt) - 00480",6,ppt
WW91,5/13/17,3,"Salinity, (ppt) - 00480",15,ppt
WW89,5/27/17,0.5,"Salinity, (ppt) - 00480",10,ppt
WW89,5/27/17,3,"Salinity, (ppt) - 00480",15,ppt
WW91,5/27/17,0.5,"Salinity, (ppt) - 00480",8.5,ppt
WW91,5/27/17,3,"Salinity, (ppt) - 00480",14,ppt
WW89,6/10/17,0.5,"Salinity, (ppt) - 00480",9,ppt
WW89,6/10/17,3,"Salinity, (ppt) - 00480",16,ppt
WW91,6/10/17,0.5,"Salinity, (ppt) - 00480",10,ppt
WW91,6/10/17,3,"Salinity, (ppt) - 00480",14,ppt
WW89,6/16/17,0.5,"Salinity, (ppt) - 00480",10,ppt
WW89,6/16/17,3,"Salinity, (ppt) - 00480",13,ppt
WW91,6/16/17,0.5,"Salinity, (ppt) - 00480",10,ppt
WW91,6/16/17,3,"Salinity, (ppt) - 00480",14.5,ppt
WW89,7/1/17,0.5,"Salinity, (ppt) - 00480",11.5,ppt
WW89,7/1/17,3,"Salinity, (ppt) - 00480",16,ppt
WW91,7/1/17,0.5,"Salinity, (ppt) - 00480",13,ppt
WW91,7/1/17,3,"Salinity, (ppt) - 00480",16.5,ppt
WW89,7/13/17,0.5,"Salinity, (ppt) - 00480",13.5,ppt
WW89,7/13/17,3,"Salinity, (ppt) - 00480",15.5,ppt
WW91,7/15/17,0.5,"Salinity, (ppt) - 00480",12,ppt
WW91,7/15/17,3,"Salinity, (ppt) - 00480",15.5,ppt
WW89,7/28/17,0.5,"Salinity, (ppt) - 00480",15,ppt
WW89,7/28/17,3,"Salinity, (ppt) - 00480",18,ppt
WW91,7/29/17,0.5,"Salinity, (ppt) - 00480",16,ppt
WW91,7/29/17,3,"Salinity, (ppt) - 00480",15.5,ppt
WW91,8/11/17,0.5,"Salinity, (ppt) - 00480",15.5,ppt
WW91,8/11/17,3,"Salinity, (ppt) - 00480",18.3,ppt
WW89,8/13/17,0.5,"Salinity, (ppt) - 00480",15,ppt
WW89,8/13/17,3,"Salinity, (ppt) - 00480",19.5,ppt
WW91,8/26/17,0.5,"Salinity, (ppt) - 00480",19.5,ppt
WW91,8/26/17,3,"Salinity, (ppt) - 00480",21,ppt
WW89,9/8/17,0.5,"Salinity, (ppt) - 00480",18.5,ppt
WW89,9/8/17,3,"Salinity, (ppt) - 00480",21.5,ppt
WW91,9/9/17,0.5,"Salinity, (ppt) - 00480",18.5,ppt
WW91,9/9/17,3,"Salinity, (ppt) - 00480",21,ppt
WW89,9/23/17,0.5,"Salinity, (ppt) - 00480",22,ppt
WW89,9/23/17,3,"Salinity, (ppt) - 00480",21.75,ppt
WW91,9/23/17,0.5,"Salinity, (ppt) - 00480",22,ppt
WW91,9/23/17,3,"Salinity, (ppt) - 00480",22.5,ppt
WW89,10/6/17,0.5,"Salinity, (ppt) - 00480",21,ppt
WW89,10/6/17,3,"Salinity, (ppt) - 00480",23,ppt
WW91,10/7/17,0.5,"Salinity, (ppt) - 00480",20.5,ppt
WW91,10/7/17,3,"Salinity, (ppt) - 00480",22,ppt
WW89,10/13/17,0.5,"Salinity, (ppt) - 00480",20.5,ppt
WW89,10/13/17,3,"Salinity, (ppt) - 00480",21.5,ppt
WW91,10/13/17,0.5,"Salinity, (ppt) - 00480",20,ppt
WW91,10/13/17,3,"Salinity, (ppt) - 00480",20,ppt
WW89,5/4/18,0.5,"Salinity, (ppt) - 00480",9,ppt
WW89,5/4/18,3,"Salinity, (ppt) - 00480",16.5,ppt
WW89,5/18/18,0.5,"Salinity, (ppt) - 00480",13,ppt
WW89,5/18/18,3,"Salinity, (ppt) - 00480",18,ppt
WW89,6/2/18,0.5,"Salinity, (ppt) - 00480",10,ppt
WW89,6/2/18,3,"Salinity, (ppt) - 00480",12.5,ppt
WW89,6/9/18,0.5,"Salinity, (ppt) - 00480",11,ppt
WW89,6/9/18,3,"Salinity, (ppt) - 00480",14,ppt
WW89,6/24/18,0.5,"Salinity, (ppt) - 00480",12.5,ppt
WW89,6/24/18,,"Salinity, (ppt) - 00480",15,ppt
WW89,7/29/18,0.5,"Salinity, (ppt) - 00480",15,ppt
WW89,7/29/18,3,"Salinity, (ppt) - 00480",17,ppt
WW89,8/18/18,0.5,"Salinity, (ppt) - 00480",15.5,ppt
WW89,8/18/18,3,"Salinity, (ppt) - 00480",18.5,ppt
WW89,9/2/18,3,"Salinity, (ppt) - 00480",20,ppt
WW89,9/15/18,0.5,"Salinity, (ppt) - 00480",20,ppt
WW89,9/15/18,3,"Salinity, (ppt) - 00480",22.5,ppt
WW89,9/29/18,0.5,"Salinity, (ppt) - 00480",20,ppt
WW89,9/29/18,3,"Salinity, (ppt) - 00480",22.5,ppt
WW89,10/19/18,0.5,"Salinity, (ppt) - 00480",16,ppt
WW89,10/19/18,3,"Salinity, (ppt) - 00480",20,ppt
WW91,4/21/18,,"Salinity, (ppt) - 00480",9,ppt
WW91,5/5/18,0.5,"Salinity, (ppt) - 00480",10,ppt
WW91,5/18/18,0.5,"Salinity, (ppt) - 00480",11,ppt
WW91,5/18/18,3,"Salinity, (ppt) - 00480",16,ppt
WW91,6/2/18,0.5,"Salinity, (ppt) - 00480",9.5,ppt
WW91,6/9/18,0.5,"Salinity, (ppt) - 00480",11,ppt
WW91,6/9/18,3,"Salinity, (ppt) - 00480",15,ppt
WW91,6/23/18,0.5,"Salinity, (ppt) - 00480",12,ppt
WW91,6/23/18,3,"Salinity, (ppt) - 00480",15,ppt
WW91,7/7/18,0.5,"Salinity, (ppt) - 00480",12,ppt
