Station Name,Date,Depth,Parameter,Concentration,Unit
WW091,6/5/21,0.5,"Salinity, (ppt) - 00480",17,ppt
WW091,6/5/21,3,"Salinity, (ppt) - 00480",17.5,ppt
WW091,7/10/21,0.5,"Salinity, (ppt) - 00480",16,ppt
WW091,7/10/21,3,"Salinity, (ppt) - 00480",20,ppt
WW091,7/24/21,0.5,"Salinity, (ppt) - 00480",19,ppt
WW091,7/24/21,3,"Salinity, (ppt) - 00480",22,ppt
WW091,8/8/21,0.5,"Salinity, (ppt) - 00480",15,ppt
WW091,8/8/21,3,"Salinity, (ppt) - 00480",21.5,ppt
WW091,8/14/21,0.5,"Salinity, (ppt) - 00480",17.5,ppt
WW091,8/14/21,3,"Salinity, (ppt) - 00480",21,ppt
WW091,8/27/21,0.5,"Salinity, (ppt) - 00480",19.5,ppt
WW091,8/27/21,3,"Salinity, (ppt) - 00480",22,ppt
WW091,9/11/21,0.5,"Salinity, (ppt) - 00480",15,ppt
WW091,9/11/21,3,"Salinity, (ppt) - 00480",20.5,ppt
WW091,9/22/21,0.5,"Salinity, (ppt) - 00480",18,ppt
WW091,9/22/21,3,"Salinity, (ppt) - 00480",22,ppt
WW091,10/10/21,0.5,"Salinity, (ppt) - 00480",21,ppt
WW091,10/10/21,3,"Salinity, (ppt) - 00480",21.5,ppt
WW091,10/20/21,0.5,"Salinity, (ppt) - 00480",21,ppt
