lab_sample_id,site_id,site_name,latitude,longitude,collection_date,collection_time,salinity_ppt,temp_do
VM_MI_08_0012,8,"Oyster Landing Beach",33.524015,-79.061975,2008-06-10,14:20:00,34.86666666666667,29.73333333333333
VM_MI_08_0020,8,"Oyster Landing Beach",33.524015,-79.061975,2008-06-24,10:30:00,34.733333333333334,28.099999999999998
VM_MI_08_0028,8,"Oyster Landing Beach",33.524015,-79.061975,2008-07-08,09:40:00,34.7,28.2
VM_MI_08_0036,8,"Oyster Landing Beach",33.524015,-79.061975,2008-07-22,09:48:00,35.5,29.3
VM_MI_08_0044,8,"Oyster Landing Beach",33.524015,-79.061975,2008-08-12,09:50:00,36.13333333333333,28.100000000000005
VM_MI_08_0052,8,"Oyster Landing Beach",33.524015,-79.061975,2008-08-26,09:40:00,33.73333333333333,28.03333333333333
VM_MI_08_0060,8,"Oyster Landing Beach",33.524015,-79.061975,2008-09-09,09:20:00,33.3,29.700000000000003
VM_MI_08_0068,8,"Oyster Landing Beach",33.524015,-79.061975,2008-09-23,09:20:00,35.1,21.7
VM_MI_08_0076,8,"Oyster Landing Beach",33.524015,-79.061975,2008-10-14,09:20:00,34.5,24.03333333333333
VM_MI_08_0084,8,"Oyster Landing Beach",33.524015,-79.061975,2008-10-28,09:15:00,34.53333333333333,15
VM_MI_08_0092,8,"Oyster Landing Beach",33.524015,-79.061975,2008-11-11,09:05:00,34.8,14.699999999999998
VM_MI_08_0100,8,"Oyster Landing Beach",33.524015,-79.061975,2008-11-25,10:05:00,34.26666666666666,13.833333333333334
VM_MI_08_0108,8,"Oyster Landing Beach",33.524015,-79.061975,2008-12-02,10:15:00,34.199999999999996,11.9
VM_MI_08_0116,8,"Oyster Landing Beach",33.524015,-79.061975,2008-12-16,10:15:00,34.5,13.533333333333333
VM_MI_09_0008,8,"Oyster Landing Beach",33.524015,-79.061975,2009-01-13,10:12:00,33.666666666666664,10.9
VM_MI_09_0019,8,"Oyster Landing Beach",33.524015,-79.061975,2009-01-27,10:15:00,33.73333333333334,9.266666666666667
VM_MI_09_0027,8,"Oyster Landing Beach",33.524015,-79.061975,2009-02-10,10:15:00,34.3,11.233333333333334
VM_MI_09_0035,8,"Oyster Landing Beach",33.524015,-79.061975,2009-02-24,10:10:00,33.333333333333336,9.1
VM_MI_09_0043,8,"Oyster Landing Beach",33.524015,-79.061975,2009-03-10,09:15:00,33.800000000000004,12.666666666666666
VM_MI_09_0051,8,"Oyster Landing Beach",33.524015,-79.061975,2009-03-24,10:00:00,33.166666666666664,14.066666666666668
VM_MI_09_0059,8,"Oyster Landing Beach",33.524015,-79.061975,2009-04-14,09:00:00,32.9,18.033333333333335
VM_MI_09_0067,8,"Oyster Landing Beach",33.524015,-79.061975,2009-04-28,09:05:00,33.63333333333333,22.633333333333336
VM_MI_09_0075,8,"Oyster Landing Beach",33.524015,-79.061975,2009-05-12,09:05:00,34.766666666666666,20.033333333333335
VM_MI_09_0083,8,"Oyster Landing Beach",33.524015,-79.061975,2009-06-02,09:25:00,33.333333333333336,27.333333333333332
VM_MI_09_0091,8,"Oyster Landing Beach",33.524015,-79.061975,2009-06-09,09:05:00,34.7,27.266666666666666
VM_MI_09_0099,8,"Oyster Landing Beach",33.524015,-79.061975,2009-06-23,09:15:00,34.233333333333334,28.46666666666667
VM_MI_09_0107,8,"Oyster Landing Beach",33.524015,-79.061975,2009-07-14,09:15:00,33.733333333333334,27.333333333333332
VM_MI_09_0110,8,"Oyster Landing Beach",33.524015,-79.061975,2009-07-28,09:15:00,35.56666666666666,28.96666666666667
VM_MI_09_0131,8,"Oyster Landing Beach",33.524015,-79.061975,2009-08-11,09:05:00,36.3,28.733333333333334
VM_MI_09_0123,8,"Oyster Landing Beach",33.524015,-79.061975,2009-08-25,09:18:00,35.53333333333333,27.333333333333332
VM_MI_09_0142,8,"Oyster Landing Beach",33.524015,-79.061975,2009-09-08,09:20:00,36.233333333333334,25.53333333333333
VM_MI_09_0146,8,"Oyster Landing Beach",33.524015,-79.061975,2009-09-22,09:35:00,35.86666666666667,27.166666666666668
VM_MI_09_0151,8,"Oyster Landing Beach",33.524015,-79.061975,2009-10-13,09:30:00,35.56666666666667,20.766666666666666
VM_MI_09_0172,8,"Oyster Landing Beach",33.524015,-79.061975,2009-10-27,09:35:00,35.3,18.9
VM_MI_09_0160,8,"Oyster Landing Beach",33.524015,-79.061975,2009-11-02,10:15:00,35.86666666666667,18.833333333333332
VM_MI_09_0181,8,"Oyster Landing Beach",33.524015,-79.061975,2009-11-17,10:15:00,34.53333333333333,18.4
VM_MI_09_0188,8,"Oyster Landing Beach",33.524015,-79.061975,2009-12-01,10:04:00,34.333333333333336,14.1
VM_MI_09_0196,8,"Oyster Landing Beach",33.524015,-79.061975,2009-12-15,10:25:00,33.166666666666664,14.5
VM_MI_10_0211,8,"Oyster Landing Beach",33.524015,-79.061975,2010-01-12,10:00:00,32.86666666666667,5.3
VM_MI_10_0218,8,"Oyster Landing Beach",33.524015,-79.061975,2010-01-26,10:10:00,31.76666666666667,10.033333333333333
VM_MI_10_0225,8,"Oyster Landing Beach",33.524015,-79.061975,2010-02-09,10:00:00,31.133333333333336,9.5
VM_MI_10_0231,8,"Oyster Landing Beach",33.524015,-79.061975,2010-02-23,10:10:00,32.1,11.666666666666666
VM_MI_10_0240,8,"Oyster Landing Beach",33.524015,-79.061975,2010-03-09,10:00:00,33.300000000000004,12
VM_MI_10_0245,8,"Oyster Landing Beach",33.524015,-79.061975,2010-03-23,09:05:00,32.86666666666667,10.800000000000002
VM_MI_10_0259,8,"Oyster Landing Beach",33.524015,-79.061975,2010-04-13,09:05:00,32.96666666666667,18.8
VM_MI_10_0265,8,"Oyster Landing Beach",33.524015,-79.061975,2010-04-27,09:00:00,33.6,18.633333333333336
VM_MI_10_0273,8,"Oyster Landing Beach",33.524015,-79.061975,2010-05-11,08:55:00,34.6,20.3
VM_MI_10_0279,8,"Oyster Landing Beach",33.524015,-79.061975,2010-05-25,09:00:00,34.96666666666667,23.96666666666667
VM_MI_10_0305,8,"Oyster Landing Beach",33.524015,-79.061975,2010-06-08,09:10:00,34.875,27.675
VM_MI_10_0295,8,"Oyster Landing Beach",33.524015,-79.061975,2010-06-22,09:00:00,35.06666666666667,28.333333333333332
VM_MI_10_0303,8,"Oyster Landing Beach",33.524015,-79.061975,2010-07-13,09:30:00,35.76666666666667,29.2
VM_MI_10_0311,8,"Oyster Landing Beach",33.524015,-79.061975,2010-07-27,09:10:00,36.13333333333333,27.8
VM_MI_10_0318,8,"Oyster Landing Beach",33.524015,-79.061975,2010-08-10,09:20:00,35.6,30.166666666666668
VM_MI_10_0329,8,"Oyster Landing Beach",33.524015,-79.061975,2010-08-24,09:20:00,35.4,28.899999999999995
VM_MI_10_0337,8,"Oyster Landing Beach",33.524015,-79.061975,2010-09-14,09:15:00,36,25.833333333333332
VM_MI_10_0349,8,"Oyster Landing Beach",33.524015,-79.061975,2010-09-28,09:15:00,26.6,24.88
VM_MI_10_0357,8,"Oyster Landing Beach",33.524015,-79.061975,2010-10-12,09:15:00,33.86666666666667,22.2
VM_MI_10_0365,8,"Oyster Landing Beach",33.524015,-79.061975,2010-10-26,09:15:00,33.875,22.4
VM_MI_10_0374,8,"Oyster Landing Beach",33.524015,-79.061975,2010-11-02,09:10:00,34.53333333333333,17.3
VM_MI_10_0367,8,"Oyster Landing Beach",33.524015,-79.061975,2010-11-16,09:00:00,34.233333333333334,17.333333333333332
