ID_SiteDate,download_date_sal,source_description_sal,lat_sal,lon_sal,firstyear_sal,finalyear_sal,Mean_Annual_Salinity_ppt,Mean_max_Salinity_ppt,Mean_min_Salinity_ppt,Salinity_st_dev,Salinity_n,Salinity_years,salinity_quantile_10,salinity_quantile_90,collection_type_sal,download_date_temp,source_description_temp,lat_temp,lon_temp,firstyear_temp,finalyear_temp,Mean_Annual_Temperature_C,Mean_max_temperature_C,Mean_min_temperature_C,Temperature_st_dev,Temperature_n,Temperature_years,temp_quantile_10,temp_quantile_90,collection_type_temp,site_name
Culch_Ba_LA_2022-6-21,8/15/23,USGS Water Data Culch Plant/Hackberry Bay - 073802512,29.39855505,-90.0411844,2007,2022,9.411105429,27.8,0.533333333,5.698713142,154474,15,2.2,17,continuous,8/15/23,USGS Water Data Culch Plant/Hackberry Bay - 073802512,29.39855505,-90.0411844,2007,2022,23.06439207,33.48666667,7.14,6.582084703,154474,15,13.6,30.6,continuous,LA5
LakeFortuna_LA_2022-5-11,8/17/23,USGS Water Data Lake Fortuna - 07374526,29.63354395,-89.5636694,2007,2022,9.574933836,24.3125,1.48125,5.899617703,147362,16,1.7,18,continuous,8/17/23,USGS Water Data Lake Fortuna - 07374526,29.63354395,-89.5636694,2007,2022,22.16672005,32.46875,7.45,6.774471342,147362,16,12.6,30.3,continuous,LA6
SawIs_MA_2022-9-5,3/21/24,PIELTER Long-Term Montitoring Data,42.762543,-70.857724,2014,2022,22.36831402,31.09428571,5.284285714,7.347533235,72990,7,11.84,30.81,continuous_seasonal,3/21/24,PIELTER Long-Term Montitoring Data,42.762543,-70.857724,2014,2022,18.93762387,26.95542857,7.966714286,5.121320363,72990,7,11.63,24.76,continuous_seasonal,MA1
LCP_UP_MD_2022-10-20,8/18/23,"Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,7.706231079,13.49459459,1.44972973,3.462920741,8456,37,2.785,12.07,weekly_intermittent,8/18/23,"Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,16.85515732,28.25945946,2.851351351,8.377067205,8454,37,4.7,27,weekly_intermittent,MD1
DC_DR_ME_2022-10-25,3/25/24,University of Maine,43.86457,-69.89763,2015,2022,31.24049971,42.055,7.4475,1.59619422,13688,4,30.5,32.06,intermittent,3/25/24,University of Maine,43.86457,-69.89763,2015,2022,14.81716832,25.175,8.255,4.017011625,13688,4,8.38,19.14,intermittent,ME1
Orrs_Cove_ME_2022-10-31,3/21/24,University of Maine,43.986,-69.55,2015,2023,29.47828304,31.50428571,8.741428571,2.277877961,26314,7,26.29,31.48,intermittent,3/21/24,University of Maine,43.986,-69.55,2015,2023,15.3288717,23.46,4.021428571,5.22149722,26314,7,7.563,21.5,intermittent,ME2
FFJ_CF_NC_2023-7-19,8/16/23,NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ,33.9547,-77.935,2002,2023,21.90667803,31.16956522,4.67826087,6.169087746,620857,23,13.2,29.3,continuous,8/16/23,NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ,33.9547,-77.935,2002,2023,20.25651559,35.98695652,1.017391304,7.466355564,620857,23,10,29.4,continuous,NC1
UNCW_MS_NC_2023-7-17,8/16/23,UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK,34.14,-77.8625,2018,2023,28.62290766,36.35833333,0.171666667,5.018323783,151954,6,21.73,34.4,weekly_continuous,8/16/23,UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK,34.14,-77.8625,2018,2023,19.66042658,30.72962963,2.389814815,6.773150885,151954,6,10.83888889,28.72222222,weekly_continuous,NC2
SR_GB_NH_2022-8-12,7/11/23,NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ,43.0524,-70.91181,1997,2022,18.64139071,30.04444444,1.144444444,8.32092582,432370,27,5.9,28.6,continuous,7/11/23,NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ,43.0524,-70.91181,1997,2022,16.71709323,27.16296296,2.548148148,6.449624801,432370,27,7.2,24.2,continuous,NH1
CS_DB_NJ_2022-9-21,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.085,-75.186,2005,2022,22.70900662,26.79222222,17.39444444,4.247331359,151,18,17.45,26.75,monthly,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.085,-75.186,2005,2022,18.16364238,25.29555556,8.519444444,6.524409601,151,18,7.61,24.93,monthly,NJ1
HC_DB_NJ_2022-9-23,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.455,-75.56,2005,2022,5.849733333,10.04,1.857777778,3.291231782,150,18,1.309,10.013,monthly,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.455,-75.56,2005,2022,18.911,26.81333333,8.996666667,6.827464253,150,18,8.136,26.748,monthly,NJ2
DC_NB_RI_2022-8-19,7/11/23,NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ,41.57836,-71.32112,2002,2022,30.52729905,33.41818182,19.45454545,1.082111898,629696,22,29.2,31.7,continuous,7/11/23,NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ,41.57836,-71.32112,2002,2022,12.18311963,23.87272727,1.186363636,6.70828115,629696,22,3.5,21,continuous,RI2
GriceCove_SC_2022-8-10,8/15/23,USGS Water Data Charleston Harbor - 021720710,32.7804544,-79.923699,2020,2022,25.00581197,33,19,2.642187798,2925,1,22,29,continuous,8/15/23,USGS Water Data Charleston Harbor - 021720710,32.7804544,-79.923699,2007,2022,20.94015549,31.125,9.00625,6.777548068,476306,16,12,29.4,continuous,SC1
OL_MI_SC_2022-5-31,7/6/23,BCCWMS Coastal Volunteer Monitoring Data,33.52401,-79.06198,2008,2022,34.07826625,35.96555556,31.07244444,1.449343871,323,15,32.404,35.61466667,intermittent_bimonthly,7/6/23,BCCWMS Coastal Volunteer Monitoring Data,33.52401,-79.06198,2008,2022,19.9819453,28.95777778,8.557777778,6.829213378,323,15,10.84666667,28.36,intermittent_bimonthly,SC2
CB_TX_2022-6-9,7/7/23,NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ,28.0841,-97.2009,2007,2021,20.85778793,29.90625,6.34375,11.66413094,490047,16,5.9,36.7,continuous,7/7/23,NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ,28.0841,-97.2009,2007,2021,23.10605003,32.61875,7.775,6.385486691,490047,16,13.8,30.5,continuous,TX2
TP_TX_2022-6-28,8/14/23,USGS Water Data Tres Palacios Bay - 08162675,28.6865,-96.2398,2020,2022,20.0276684,28.33333333,7.666666667,7.678590578,46985,3,7,27,continuous,8/14/23,USGS Water Data Tres Palacios Bay - 08162675,28.6865,-96.2398,2020,2022,22.7038225,30.73333333,6.166666667,6.8796434,46985,3,13.2,30.9,continuous,TX3
GalBay_TX_2022-6-2,8/14/23,USGS Water Data Galveston Bay - 08067303,29.6703,-94.8536,2020,2022,11.88196063,20,3.666666667,5.231486863,52330,3,1,17,continuous,8/14/23,USGS Water Data Galveston Bay - 08067303,29.6703,-94.8536,2020,2022,20.60186127,29.16666667,7.4,6.700543994,52330,3,12.2,30,continuous,TX4
CC_VA_2022-7-11,3/29/24,VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague,37.60769,-75.6858,2016,2022,30.05792658,33.06285714,11.80285714,2.225725405,135848,7,27.34,32.39,continuous,3/29/24,VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague,37.60769,-75.6858,2016,2022,18.01110143,31.20171429,1.207142857,8.305380084,135848,7,6.158,27.893,continuous,VA3
