Timestamp,Value (PSU)
11/5/05 0:00,19.55116121074195
11/6/05 0:00,19.387341155228974
11/7/05 0:00,19.2781884
11/8/05 0:00,20.050857920799128
11/9/05 0:00,21.890527062723542
11/10/05 0:00,26.623317350623694
11/11/05 0:00,21.61211166805329
11/12/05 0:00,20.97912619224111
11/13/05 0:00,20.569246273928915
11/14/05 0:00,20.322125358569835
11/15/05 0:00,19.960749895413272
11/16/05 0:00,20.75079874572356
11/17/05 0:00,20.336362132371917
11/18/05 0:00,20.404042939869264
11/19/05 0:00,20.47311630257964
11/20/05 0:00,21.104602076086344
11/21/05 0:00,24.728899304467564
11/22/05 0:00,30.90318461395026
11/23/05 0:00,22.762179298287403
11/24/05 0:00,25.378765506193094
11/25/05 0:00,23.36739792049832
11/26/05 0:00,22.293380160626032
11/27/05 0:00,22.08368118935357
11/28/05 0:00,22.90865969062849
11/29/05 0:00,28.140298347763128
11/30/05 0:00,26.914142363679904
12/1/05 0:00,24.13758481
12/2/05 0:00,24.125255099941914
12/3/05 0:00,23.047474550628635
12/4/05 0:00,22.451546178278377
12/5/05 0:00,21.433100343121676
12/6/05 0:00,21.74676080399892
12/7/05 0:00,20.85158255921048
12/8/05 0:00,21.42173744223472
12/9/05 0:00,22.016170025612986
12/10/05 0:00,21.373939399616784
12/11/05 0:00,22.19230293759649
12/12/05 0:00,22.01533895696408
12/13/05 0:00,21.845511275266755
12/14/05 0:00,22.007127181088922
12/15/05 0:00,26.54799885
12/16/05 0:00,30.55675237267249
12/17/05 0:00,24.59508719946437
12/18/05 0:00,21.48957639450174
12/19/05 0:00,21.40007912
12/20/05 0:00,21.357433363321103
12/21/05 0:00,21.62878806796536
12/22/05 0:00,22.108660959684258
12/23/05 0:00,21.054981719907953
12/24/05 0:00,20.412603279390332
12/25/05 0:00,22.66958744364768
12/26/05 0:00,30.10575472769344
12/27/05 0:00,24.18466437
12/28/05 0:00,21.829654736774316
12/29/05 0:00,25.94605749123757
12/30/05 0:00,22.654140074304276
12/31/05 0:00,22.894452221299392
1/1/06 0:00,21.05551690745983
1/2/06 0:00,21.62638088856789
1/3/06 0:00,23.83518980840597
1/4/06 0:00,19.63651044063304
1/5/06 0:00,25.530303152970408
1/6/06 0:00,19.926393672025295
1/7/06 0:00,18.283801453813787
1/8/06 0:00,18.388126256025387
1/9/06 0:00,18.597561214425546
1/10/06 0:00,18.392628307111494
1/11/06 0:00,18.981648409692106
1/12/06 0:00,18.714012068646426
1/13/06 0:00,18.062625004718114
1/14/06 0:00,25.050975920038397
1/15/06 0:00,23.019845909825982
1/16/06 0:00,23.240214115212055
1/17/06 0:00,28.086796648522768
1/18/06 0:00,32.90707071141152
1/19/06 0:00,22.478606981800326
1/20/06 0:00,20.937032524486053
1/21/06 0:00,19.907925957104556
1/22/06 0:00,20.736030097480125
1/23/06 0:00,19.890264690669493
1/24/06 0:00,20.61018162561916
1/25/06 0:00,22.63347553
1/26/06 0:00,20.51247033022438
1/27/06 0:00,20.232539963854705
1/28/06 0:00,20.32089518
1/29/06 0:00,26.264839468881537
1/30/06 0:00,31.97960027095959
1/31/06 0:00,30.699362862390615
2/1/06 0:00,27.215081631988113
2/2/06 0:00,29.67876048900928
2/3/06 0:00,31.654816794324812
2/4/06 0:00,30.036080600004137
2/5/06 0:00,30.24126465125292
2/6/06 0:00,23.72772144076733
2/7/06 0:00,22.54718846138553
2/8/06 0:00,22.555865409232148
2/9/06 0:00,22.291004822696294
2/10/06 0:00,22.18588171285904
2/11/06 0:00,23.448028798416505
2/12/06 0:00,26.66775490431203
2/13/06 0:00,23.071322739838347
2/14/06 0:00,22.255135036769442
2/15/06 0:00,21.278902736970323
2/16/06 0:00,20.85487224173152
2/17/06 0:00,20.71749204588056
2/18/06 0:00,21.355104527304267
2/19/06 0:00,21.905680008496518
2/20/06 0:00,21.16901007556401
2/21/06 0:00,20.618079907346765
2/22/06 0:00,20.42527886835136
2/23/06 0:00,22.800648679939997
2/24/06 0:00,22.984794088557123
2/25/06 0:00,22.454728728944428
2/26/06 0:00,21.481661750403646
2/27/06 0:00,22.256394505067302
2/28/06 0:00,26.388671226368526
3/1/06 0:00,27.948515312177864
3/2/06 0:00,28.88587524440011
3/3/06 0:00,27.70504077651742
3/4/06 0:00,25.455729525919153
3/5/06 0:00,23.632548104467254
3/6/06 0:00,22.524201487602355
3/7/06 0:00,23.255157950682406
3/8/06 0:00,22.837421508577275
3/9/06 0:00,23.979187235929558
3/10/06 0:00,27.68936647130791
3/11/06 0:00,26.327164198144658
3/12/06 0:00,23.792393198084216
3/13/06 0:00,25.15242014164343
3/14/06 0:00,29.873905600742717
3/15/06 0:00,25.813410987997614
3/16/06 0:00,23.145933964361188
3/17/06 0:00,25.781139612309296
3/18/06 0:00,24.53060528970022
3/19/06 0:00,23.80840195431433
3/20/06 0:00,23.271078414955362
3/21/06 0:00,22.217312982725407
3/22/06 0:00,22.333511883175863
3/23/06 0:00,22.658769282171974
3/24/06 0:00,23.33230650204682
3/25/06 0:00,23.89838558097817
3/26/06 0:00,23.05800425789098
3/27/06 0:00,22.80101870526567
3/28/06 0:00,22.876275233590288
3/29/06 0:00,22.616254360687808
3/30/06 0:00,22.350625629774655
3/31/06 0:00,22.550460497113697
4/1/06 0:00,24.34105131855606
4/2/06 0:00,24.18304550918074
4/3/06 0:00,25.78798777991819
4/4/06 0:00,24.77497081051393
4/5/06 0:00,22.717678422795277
4/6/06 0:00,22.782276845533204
4/7/06 0:00,22.884262817986816
4/8/06 0:00,28.52809704084717
