WATERBODY,STATION,LEASE,LATITUDE,LONGITUDE,DEPLOYMENT_PERIOD,TIMESTAMP,SENSOR,DEPTH,VARIABLE,VALUE,UNITS,MOORING
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 11:12:42 PM,aquaMeasure-675286,2,Temperature,15.38,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 11:22:42 PM,aquaMeasure-675286,2,Temperature,15.36,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 11:32:42 PM,aquaMeasure-675286,2,Temperature,15.36,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 11:42:42 PM,aquaMeasure-675286,2,Temperature,15.38,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 11:52:42 PM,aquaMeasure-675286,2,Temperature,15.45,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:02:42 AM,aquaMeasure-675286,2,Temperature,15.51,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:12:42 AM,aquaMeasure-675286,2,Temperature,15.57,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:22:42 AM,aquaMeasure-675286,2,Temperature,15.64,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:32:42 AM,aquaMeasure-675286,2,Temperature,15.66,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:42:42 AM,aquaMeasure-675286,2,Temperature,15.7,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:52:42 AM,aquaMeasure-675286,2,Temperature,15.72,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:02:42 AM,aquaMeasure-675286,2,Temperature,15.81,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:12:42 AM,aquaMeasure-675286,2,Temperature,15.88,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:22:42 AM,aquaMeasure-675286,2,Temperature,15.96,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:32:42 AM,aquaMeasure-675286,2,Temperature,16,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:42:42 AM,aquaMeasure-675286,2,Temperature,16.07,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:52:42 AM,aquaMeasure-675286,2,Temperature,16.09,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:02:42 AM,aquaMeasure-675286,2,Temperature,16.2,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:12:42 AM,aquaMeasure-675286,2,Temperature,16.29,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:22:42 AM,aquaMeasure-675286,2,Temperature,16.37,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:32:42 AM,aquaMeasure-675286,2,Temperature,16.41,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:42:42 AM,aquaMeasure-675286,2,Temperature,16.5,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:52:42 AM,aquaMeasure-675286,2,Temperature,16.57,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:02:42 AM,aquaMeasure-675286,2,Temperature,16.68,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:12:42 AM,aquaMeasure-675286,2,Temperature,16.78,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:22:42 AM,aquaMeasure-675286,2,Temperature,16.89,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:32:42 AM,aquaMeasure-675286,2,Temperature,16.91,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:42:42 AM,aquaMeasure-675286,2,Temperature,16.96,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:52:42 AM,aquaMeasure-675286,2,Temperature,17,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:02:42 AM,aquaMeasure-675286,2,Temperature,17.05,degrees Celsius,fixed
