,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,8.26,8.32,0.084,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,8.38,8.32,0.084,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,33.07,32.93,0.193,0.00000,-7.144,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,32.80,32.93,0.193,0.00000,-7.074,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,36.30,36.30,0.000,0.00000,-7.968,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,25.71,25.64,0.101,0.00001,-5.267,0.00001,0.00000,60.0,
,A08,FAM,,Unkn-17,,,25.57,25.64,0.101,0.00001,-5.230,0.00001,0.00000,60.0,
,A09,FAM,,Unkn-25,,,28.35,28.26,0.117,0.00000,-5.939,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,28.18,28.26,0.117,0.00000,-5.896,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,13.13,12.73,0.561,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,12.33,12.73,0.561,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,26.33,26.27,0.085,0.00000,-5.425,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,26.21,26.27,0.085,0.00000,-5.394,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,24.92,24.89,0.038,0.00001,-5.063,0.00001,0.00000,60.0,
