,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,8.06,8.06,0.009,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,8.07,8.06,0.009,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,36.69,36.69,0.000,0.00000,-7.837,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,38.62,38.00,0.887,0.00000,-8.297,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,37.37,38.00,0.887,0.00000,-7.999,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,35.13,34.64,0.694,0.00000,-7.465,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,34.14,34.64,0.694,0.00000,-7.231,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,12.97,12.49,0.675,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,12.01,12.49,0.675,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,32.72,32.93,0.295,0.00000,-6.892,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,33.14,32.93,0.295,0.00000,-6.991,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,26.23,26.37,0.210,0.00000,-5.347,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,26.52,26.37,0.210,0.00000,-5.417,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,27.02,26.95,0.106,0.00000,-5.537,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,26.87,26.95,0.106,0.00000,-5.501,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,26.07,25.65,0.593,0.00000,-5.310,0.00001,0.00000,60.0,
,B10,FAM,,Unkn-26,,,25.23,25.65,0.593,0.00001,-5.110,0.00001,0.00000,60.0,
,B11,FAM,,Unkn-33,,,31.59,31.62,0.039,0.00000,-6.623,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,31.64,31.62,0.039,0.00000,-6.636,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,37.33,37.33,0.000,0.00000,-7.988,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,24.07,24.13,0.092,0.00001,-4.833,0.00001,0.00000,60.0,
