,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,7.23,6.97,0.378,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,6.70,6.97,0.378,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,20.14,20.15,0.016,0.00008,-4.100,0.00008,0.00000,60.0,
,A04,FAM,,Unkn-01,,,20.17,20.15,0.016,0.00008,-4.106,0.00008,0.00000,60.0,
,A05,FAM,,Unkn-09,,,39.12,39.12,0.000,0.00000,-8.605,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,27.15,27.03,0.169,0.00000,-5.762,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,26.91,27.03,0.169,0.00000,-5.706,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,28.36,28.38,0.031,0.00000,-6.050,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,28.40,28.38,0.031,0.00000,-6.061,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,11.05,10.93,0.173,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,10.81,10.93,0.173,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,39.18,39.18,0.000,0.00000,-8.618,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,36.96,37.43,0.668,0.00000,-8.091,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,37.90,37.43,0.668,0.00000,-8.315,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,27.30,27.14,0.224,0.00000,-5.798,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,26.98,27.14,0.224,0.00000,-5.723,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,34.94,34.97,0.047,0.00000,-7.612,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,35.00,34.97,0.047,0.00000,-7.627,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-03,,,36.79,37.87,1.533,0.00000,-8.050,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,38.95,37.87,1.533,0.00000,-8.565,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,28.20,28.22,0.038,0.00000,-6.012,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,28.25,28.22,0.038,0.00000,-6.025,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,21.02,20.97,0.062,0.00005,-4.308,0.00005,0.00000,60.0,
,C08,FAM,,Unkn-19,,,20.93,20.97,0.062,0.00005,-4.287,0.00005,0.00000,60.0,
,C09,FAM,,Unkn-27,,,37.38,36.43,1.338,0.00000,-8.190,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,35.48,36.43,1.338,0.00000,-7.741,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,39.04,38.63,0.576,0.00000,-8.584,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,38.22,38.63,0.576,0.00000,-8.390,0.00000,0.00000,60.0,
,D01,FAM,,Std-04,,,21.12,21.10,0.030,0.00010,-4.000,0.00010,0.00000,60.0,
,D02,FAM,,Std-04,,,21.08,21.10,0.030,0.00010,-4.000,0.00010,0.00000,60.0,
,D03,FAM,,Unkn-04,,,25.47,25.47,0.008,0.00000,-5.364,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,25.48,25.47,0.008,0.00000,-5.367,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,23.22,23.20,0.032,0.00001,-4.831,0.00001,0.00000,60.0,
,D10,FAM,,Unkn-28,,,23.18,23.20,0.032,0.00002,-4.820,0.00001,0.00000,60.0,
,D11,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-35,,,35.66,35.66,0.000,0.00000,-7.782,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,23.19,23.20,0.013,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,23.21,23.20,0.013,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
