,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A03,FAM,,Unkn-01,,,23.12,23.16,0.061,0.00006,-4.231,0.00006,0.00000,60.0,
,A04,FAM,,Unkn-01,,,23.21,23.16,0.061,0.00006,-4.252,0.00006,0.00000,60.0,
,A05,FAM,,Unkn-09,,,33.15,33.25,0.141,0.00000,-6.651,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,33.35,33.25,0.141,0.00000,-6.699,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,37.33,37.33,0.000,0.00000,-7.661,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A11,FAM,,Neg Ctrl,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,Neg Ctrl,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,14.03,13.77,0.367,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,13.51,13.77,0.367,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,36.46,36.38,0.111,0.00000,-7.451,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,36.31,36.38,0.111,0.00000,-7.413,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,39.59,39.59,0.000,0.00000,-8.205,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B11,FAM,,Unkn,,,25.70,25.70,0.000,0.00001,-4.854,0.00001,0.00000,60.0,
,B12,FAM,,Unkn,,,25.71,25.71,0.000,0.00001,-4.857,0.00001,0.00000,60.0,
,C01,FAM,,Std-03,,,18.42,18.36,0.081,0.00100,-3.000,0.00100,0.00000,60.0,
,C02,FAM,,Std-03,,,18.30,18.36,0.081,0.00100,-3.000,0.00100,0.00000,60.0,
,C03,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,23.59,23.46,0.180,0.00005,-4.344,0.00005,0.00000,60.0,
,C06,FAM,,Unkn-11,,,23.33,23.46,0.180,0.00005,-4.283,0.00005,0.00000,60.0,
,C07,FAM,,Unkn-19,,,38.63,38.63,0.000,0.00000,-7.973,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,38.58,38.58,0.000,0.00000,-7.960,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-33,,,35.93,35.49,0.621,0.00000,-7.322,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-33,,,35.05,35.49,0.621,0.00000,-7.110,0.00000,0.00000,60.0,
,D03,FAM,,Unkn-04,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,29.57,29.63,0.097,0.00000,-5.786,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,29.70,29.63,0.097,0.00000,-5.820,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-28,,,37.72,37.72,0.000,0.00000,-7.753,0.00000,0.00000,60.0,
,D11,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-34,,,39.87,39.87,0.000,0.00000,-8.273,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,25.50,25.53,0.042,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,25.56,25.53,0.042,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E05,FAM,,Unkn-13,,,34.55,34.64,0.140,0.00000,-6.988,0.00000,0.00000,60.0,
,E06,FAM,,Unkn-13,,,34.74,34.64,0.140,0.00000,-7.036,0.00000,0.00000,60.0,
,E07,FAM,,Unkn-21,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E08,FAM,,Unkn-21,,,36.37,36.37,0.000,0.00000,-7.427,0.00000,0.00000,60.0,
,E09,FAM,,Unkn-29,,,26.35,26.43,0.111,0.00001,-5.010,0.00001,0.00000,60.0,
,E10,FAM,,Unkn-29,,,26.51,26.43,0.111,0.00001,-5.048,0.00001,0.00000,60.0,
,E11,FAM,,Unkn-35,,,35.32,34.75,0.806,0.00000,-7.174,0.00000,0.00000,60.0,
,E12,FAM,,Unkn-35,,,34.18,34.75,0.806,0.00000,-6.899,0.00000,0.00000,60.0,
,F01,FAM,,Std-06,,,31.22,31.17,0.077,0.00000,-6.000,0.00000,0.00000,60.0,
,F02,FAM,,Std-06,,,31.11,31.17,0.077,0.00000,-6.000,0.00000,0.00000,60.0,
,F03,FAM,,Unkn-06,,,28.02,28.01,0.009,0.00000,-5.413,0.00000,0.00000,60.0,
,F04,FAM,,Unkn-06,,,28.01,28.01,0.009,0.00000,-5.410,0.00000,0.00000,60.0,
,F05,FAM,,Unkn-14,,,,0.00,0.000,,,0.00000,0.00000,60.0,
