,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A03,FAM,,Unkn-01,,,34.38,35.72,1.889,0.00000,-7.634,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,37.05,35.72,1.889,0.00000,-8.309,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,27.30,27.18,0.167,0.00000,-5.842,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,27.06,27.18,0.167,0.00000,-5.782,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,27.11,27.15,0.061,0.00000,-5.794,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,27.19,27.15,0.061,0.00000,-5.816,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,38.24,38.24,0.000,,,,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,11.68,11.58,0.148,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.48,11.58,0.148,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,24.85,24.84,0.013,0.00001,-5.224,0.00001,0.00000,60.0,
,B04,FAM,,Unkn-02,,,24.83,24.84,0.013,0.00001,-5.219,0.00001,0.00000,60.0,
,B05,FAM,,Unkn-10,,,20.00,20.00,0.004,0.00010,-3.997,0.00010,0.00000,60.0,
,B06,FAM,,Unkn-10,,,20.01,20.00,0.004,0.00010,-3.999,0.00010,0.00000,60.0,
,B07,FAM,,Unkn-18,,,25.84,25.65,0.262,0.00000,-5.472,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,25.47,25.65,0.262,0.00000,-5.379,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,38.11,38.48,0.520,0.00000,-8.577,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,38.85,38.48,0.520,0.00000,-8.763,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,39.12,39.12,0.000,0.00000,-8.833,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C01,FAM,,Std-03,,,16.80,16.72,0.124,0.00100,-3.000,0.00100,0.00000,60.0,
,C02,FAM,,Std-03,,,16.63,16.72,0.124,0.00100,-3.000,0.00100,0.00000,60.0,
,C03,FAM,,Unkn-03,,,31.04,31.05,0.013,0.00000,-6.789,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,31.06,31.05,0.013,0.00000,-6.794,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,23.41,23.37,0.057,0.00001,-4.859,0.00001,0.00000,60.0,
,C06,FAM,,Unkn-11,,,23.33,23.37,0.057,0.00001,-4.838,0.00001,0.00000,60.0,
,C07,FAM,,Unkn-19,,,26.94,26.80,0.188,0.00000,-5.751,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,26.67,26.80,0.188,0.00000,-5.683,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,37.65,37.29,0.502,0.00000,-8.459,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,36.94,37.29,0.502,0.00000,-8.280,0.00000,0.00000,60.0,
,D03,FAM,,Unkn-04,,,35.15,35.75,0.844,0.00000,-7.829,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,36.35,35.75,0.844,0.00000,-8.131,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,29.49,29.58,0.131,0.00000,-6.395,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,29.67,29.58,0.131,0.00000,-6.442,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D11,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,23.72,23.69,0.044,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,23.66,23.69,0.044,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E05,FAM,,Unkn-13,,,35.97,35.57,0.556,0.00000,-8.034,0.00000,0.00000,60.0,
,E06,FAM,,Unkn-13,,,35.18,35.57,0.556,0.00000,-7.835,0.00000,0.00000,60.0,
,E07,FAM,,Unkn-21,,,22.21,22.22,0.007,0.00003,-4.556,0.00003,0.00000,60.0,
,E08,FAM,,Unkn-21,,,22.22,22.22,0.007,0.00003,-4.558,0.00003,0.00000,60.0,
,E09,FAM,,Unkn-29,,,35.72,35.63,0.129,0.00000,-7.972,0.00000,0.00000,60.0,
,E10,FAM,,Unkn-29,,,35.54,35.63,0.129,0.00000,-7.925,0.00000,0.00000,60.0,
,E11,FAM,,Unkn-36,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E12,FAM,,Unkn-36,,,37.30,37.30,0.000,0.00000,-8.372,0.00000,0.00000,60.0,
,F01,FAM,,Std-06,,,28.55,28.45,0.134,0.00000,-6.000,0.00000,0.00000,60.0,
,F02,FAM,,Std-06,,,28.36,28.45,0.134,0.00000,-6.000,0.00000,0.00000,60.0,
,F03,FAM,,Unkn-06,,,24.09,24.11,0.028,0.00001,-5.031,0.00001,0.00000,60.0,
,F04,FAM,,Unkn-06,,,24.13,24.11,0.028,0.00001,-5.041,0.00001,0.00000,60.0,
,F05,FAM,,Unkn-14,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F06,FAM,,Unkn-14,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F07,FAM,,Unkn-22,,,36.15,35.84,0.433,0.00000,-8.080,0.00000,0.00000,60.0,
,F08,FAM,,Unkn-22,,,35.54,35.84,0.433,0.00000,-7.926,0.00000,0.00000,60.0,
,F09,FAM,,Unkn-30,,,24.34,24.32,0.021,0.00001,-5.093,0.00001,0.00000,60.0,
,F10,FAM,,Unkn-30,,,24.31,24.32,0.021,0.00001,-5.086,0.00001,0.00000,60.0,
,F11,FAM,,Unkn-37,,,26.61,26.62,0.016,0.00000,-5.668,0.00000,0.00000,60.0,
,F12,FAM,,Unkn-37,,,26.63,26.62,0.016,0.00000,-5.673,0.00000,0.00000,60.0,
,G01,FAM,,Std-07,,,31.67,31.48,0.263,0.00000,-7.000,0.00000,0.00000,60.0,
,G02,FAM,,Std-07,,,31.30,31.48,0.263,0.00000,-7.000,0.00000,0.00000,60.0,
,G03,FAM,,Unkn-07,,,32.95,33.09,0.186,0.00000,-7.272,0.00000,0.00000,60.0,
,G04,FAM,,Unkn-07,,,33.22,33.09,0.186,0.00000,-7.339,0.00000,0.00000,60.0,
,G05,FAM,,Unkn-15,,,27.37,27.36,0.005,0.00000,-5.860,0.00000,0.00000,60.0,
,G06,FAM,,Unkn-15,,,27.36,27.36,0.005,0.00000,-5.858,0.00000,0.00000,60.0,
,G07,FAM,,Unkn-23,,,28.54,28.58,0.062,0.00000,-6.156,0.00000,0.00000,60.0,
,G08,FAM,,Unkn-23,,,28.63,28.58,0.062,0.00000,-6.178,0.00000,0.00000,60.0,
,G09,FAM,,Unkn-31,,,39.20,39.20,0.000,0.00000,-8.852,0.00000,0.00000,60.0,
,G10,FAM,,Unkn-31,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G11,FAM,,Pos Ctrl,,,31.99,31.99,0.000,0.00000,-7.029,0.00000,0.00000,60.0,
