,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,8.28,8.08,0.277,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,7.89,8.08,0.277,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,38.16,38.16,0.000,0.00000,-8.365,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,28.07,28.01,0.084,0.00000,-5.890,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,27.95,28.01,0.084,0.00000,-5.861,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,29.67,29.66,0.013,0.00000,-6.282,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,29.65,29.66,0.013,0.00000,-6.278,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,12.01,11.84,0.243,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.67,11.84,0.243,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,21.60,21.56,0.053,0.00005,-4.301,0.00005,0.00000,60.0,
,B06,FAM,,Unkn-10,,,21.52,21.56,0.053,0.00005,-4.282,0.00005,0.00000,60.0,
,B07,FAM,,Unkn-18,,,33.49,33.64,0.222,0.00000,-7.219,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,33.80,33.64,0.222,0.00000,-7.296,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C01,FAM,,Std-03,,,17.11,16.83,0.395,0.00100,-3.000,0.00100,0.00000,60.0,
,C02,FAM,,Std-03,,,16.55,16.83,0.395,0.00100,-3.000,0.00100,0.00000,60.0,
,C03,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,19.12,19.06,0.077,0.00020,-3.693,0.00021,0.00001,60.0,
,C08,FAM,,Unkn-19,,,19.01,19.06,0.077,0.00022,-3.666,0.00021,0.00001,60.0,
,C09,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D03,FAM,,Unkn-04,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,35.15,34.59,0.791,0.00000,-7.627,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,34.03,34.59,0.791,0.00000,-7.352,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,38.07,38.07,0.000,0.00000,-8.345,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D11,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,24.26,24.15,0.157,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,24.04,24.15,0.157,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,37.47,37.47,0.000,0.00000,-8.196,0.00000,0.00000,60.0,
,E05,FAM,,Unkn-13,,,26.76,26.70,0.090,0.00000,-5.569,0.00000,0.00000,60.0,
,E06,FAM,,Unkn-13,,,26.64,26.70,0.090,0.00000,-5.538,0.00000,0.00000,60.0,
,E07,FAM,,Unkn-21,,,27.80,27.68,0.160,0.00000,-5.822,0.00000,0.00000,60.0,
,E08,FAM,,Unkn-21,,,27.57,27.68,0.160,0.00000,-5.767,0.00000,0.00000,60.0,
,E09,FAM,,Unkn-29,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E10,FAM,,Unkn-29,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E11,FAM,,Unkn-36,,,30.42,30.44,0.017,0.00000,-6.468,0.00000,0.00000,60.0,
,E12,FAM,,Unkn-36,,,30.45,30.44,0.017,0.00000,-6.474,0.00000,0.00000,60.0,
,F01,FAM,,Std-06,,,29.50,29.30,0.289,0.00000,-6.000,0.00000,0.00000,60.0,
,F02,FAM,,Std-06,,,29.09,29.30,0.289,0.00000,-6.000,0.00000,0.00000,60.0,
,F03,FAM,,Unkn-06,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F04,FAM,,Unkn-06,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F05,FAM,,Unkn-14,,,39.56,38.59,1.371,0.00000,-8.711,0.00000,0.00000,60.0,
,F06,FAM,,Unkn-14,,,37.62,38.59,1.371,0.00000,-8.235,0.00000,0.00000,60.0,
,F07,FAM,,Unkn-22,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F08,FAM,,Unkn-22,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F09,FAM,,Unkn-30,,,26.49,26.46,0.044,0.00000,-5.501,0.00000,0.00000,60.0,
,F10,FAM,,Unkn-30,,,26.42,26.46,0.044,0.00000,-5.486,0.00000,0.00000,60.0,
,F11,FAM,,Unkn-37,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F12,FAM,,Unkn-37,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G01,FAM,,Std-07,,,32.04,32.03,0.021,0.00000,-7.000,0.00000,0.00000,60.0,
,G02,FAM,,Std-07,,,32.01,32.03,0.021,0.00000,-7.000,0.00000,0.00000,60.0,
,G03,FAM,,Unkn-07,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G04,FAM,,Unkn-07,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G05,FAM,,Unkn-15,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G06,FAM,,Unkn-15,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G07,FAM,,Unkn-23,,,35.47,35.05,0.595,0.00000,-7.707,0.00000,0.00000,60.0,
,G08,FAM,,Unkn-23,,,34.63,35.05,0.595,0.00000,-7.501,0.00000,0.00000,60.0,
,G09,FAM,,Unkn-31,,,33.26,33.14,0.166,0.00000,-7.163,0.00000,0.00000,60.0,
,G10,FAM,,Unkn-31,,,33.02,33.14,0.166,0.00000,-7.106,0.00000,0.00000,60.0,
,G11,FAM,,Pos Ctrl,,,31.85,31.85,0.000,0.00000,-6.816,0.00000,0.00000,60.0,
,G12,FAM,,Pos Ctrl,,,32.06,32.06,0.000,0.00000,-6.869,0.00000,0.00000,60.0,
,H03,FAM,,Unkn-08,,,21.81,21.78,0.037,0.00004,-4.352,0.00005,0.00000,60.0,
,H04,FAM,,Unkn-08,,,21.75,21.78,0.037,0.00005,-4.339,0.00005,0.00000,60.0,
,H07,FAM,,Unkn-24,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H08,FAM,,Unkn-24,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H09,FAM,,Unkn-32,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H10,FAM,,Unkn-32,,,39.65,39.65,0.000,0.00000,-8.733,0.00000,0.00000,60.0,
,A01,HEX,,Std-01,,,9.31,9.01,0.426,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,HEX,,Std-01,,,8.71,9.01,0.426,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,HEX,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A04,HEX,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A05,HEX,,Unkn-09,,,39.07,39.07,0.000,0.00000,-8.480,0.00000,0.00000,60.0,
,A06,HEX,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A07,HEX,,Unkn-17,,,39.51,39.51,0.000,0.00000,-8.591,0.00000,0.00000,60.0,
,A08,HEX,,Unkn-17,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A09,HEX,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A10,HEX,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A11,HEX,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,HEX,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
