,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,7.92,7.91,0.016,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,7.90,7.91,0.016,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,34.59,34.32,0.385,0.00000,-7.329,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,34.05,34.32,0.385,0.00000,-7.199,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,37.95,37.24,1.003,0.00000,-8.126,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,36.53,37.24,1.003,0.00000,-7.789,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,28.41,28.34,0.104,0.00000,-5.859,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,28.26,28.34,0.104,0.00000,-5.824,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,24.21,24.16,0.062,0.00001,-4.861,0.00001,0.00000,60.0,
,B06,FAM,,Unkn-10,,,24.12,24.16,0.062,0.00001,-4.840,0.00001,0.00000,60.0,
,B07,FAM,,Unkn-18,,,26.67,26.65,0.020,0.00000,-5.445,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,26.64,26.65,0.020,0.00000,-5.439,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,29.44,29.39,0.071,0.00000,-6.104,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,29.34,29.39,0.071,0.00000,-6.081,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,39.22,37.92,1.833,0.00000,-8.428,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,36.63,37.92,1.833,0.00000,-7.812,0.00000,0.00000,60.0,
,C01,FAM,,Std-03,,,16.65,16.64,0.010,0.00100,-3.000,0.00100,0.00000,60.0,
,C02,FAM,,Std-03,,,16.64,16.64,0.010,0.00100,-3.000,0.00100,0.00000,60.0,
,C03,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,28.00,27.97,0.045,0.00000,-5.763,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,27.94,27.97,0.045,0.00000,-5.748,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D01,FAM,,Std-04,,,21.09,21.00,0.135,0.00010,-4.000,0.00010,0.00000,60.0,
,D02,FAM,,Std-04,,,20.90,21.00,0.135,0.00010,-4.000,0.00010,0.00000,60.0,
,D03,FAM,,Unkn-04,,,24.63,24.57,0.079,0.00001,-4.961,0.00001,0.00000,60.0,
,D04,FAM,,Unkn-04,,,24.52,24.57,0.079,0.00001,-4.935,0.00001,0.00000,60.0,
