,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A03,FAM,,Unkn-01,,,23.23,23.17,0.086,0.00003,-4.534,0.00003,0.00000,60.0,
,A04,FAM,,Unkn-01,,,23.10,23.17,0.086,0.00003,-4.502,0.00003,0.00000,60.0,
,A05,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,39.43,38.46,1.373,0.00000,-8.796,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,37.49,38.46,1.373,0.00000,-8.286,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,26.56,26.68,0.169,0.00000,-5.410,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,26.80,26.68,0.169,0.00000,-5.473,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,36.83,36.83,0.000,0.00000,-8.113,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,30.15,30.07,0.106,0.00000,-6.353,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,30.00,30.07,0.106,0.00000,-6.314,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C01,FAM,,Std-03,,,17.86,17.63,0.326,0.00100,-3.000,0.00100,0.00000,60.0,
,C02,FAM,,Std-03,,,17.40,17.63,0.326,0.00100,-3.000,0.00100,0.00000,60.0,
,C03,FAM,,Unkn-03,,,38.39,38.39,0.000,0.00000,-8.521,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,22.21,22.17,0.070,0.00005,-4.267,0.00006,0.00000,60.0,
,C08,FAM,,Unkn-19,,,22.12,22.17,0.070,0.00006,-4.241,0.00006,0.00000,60.0,
,C11,FAM,,Unkn-34,,,36.39,35.86,0.749,0.00000,-7.995,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,35.33,35.86,0.749,0.00000,-7.716,0.00000,0.00000,60.0,
,D03,FAM,,Unkn-04,,,26.02,25.88,0.210,0.00001,-5.269,0.00001,0.00000,60.0,
,D04,FAM,,Unkn-04,,,25.73,25.88,0.210,0.00001,-5.191,0.00001,0.00000,60.0,
,D05,FAM,,Unkn-12,,,25.39,25.45,0.088,0.00001,-5.102,0.00001,0.00000,60.0,
,D06,FAM,,Unkn-12,,,25.51,25.45,0.088,0.00001,-5.135,0.00001,0.00000,60.0,
,D07,FAM,,Unkn-20,,,39.84,39.84,0.000,0.00000,-8.904,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,24.75,24.64,0.151,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,24.53,24.64,0.151,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,38.30,38.30,0.000,0.00000,-8.499,0.00000,0.00000,60.0,
,E05,FAM,,Unkn-13,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E06,FAM,,Unkn-13,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E07,FAM,,Unkn-21,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E08,FAM,,Unkn-21,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E09,FAM,,Unkn-29,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E10,FAM,,Unkn-29,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E11,FAM,,Unkn-36,,,25.22,25.10,0.162,0.00001,-5.057,0.00001,0.00000,60.0,
