,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,8.48,8.49,0.013,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,8.50,8.49,0.013,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,27.45,27.23,0.307,0.00000,-5.667,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,27.01,27.23,0.307,0.00000,-5.560,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,38.53,38.53,0.000,0.00000,-8.394,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,39.96,39.09,1.221,0.00000,-8.746,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,38.23,39.09,1.221,0.00000,-8.321,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,22.18,22.09,0.129,0.00004,-4.370,0.00004,0.00000,60.0,
,A10,FAM,,Unkn-25,,,21.99,22.09,0.129,0.00005,-4.325,0.00004,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,12.77,12.26,0.729,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.74,12.26,0.729,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,22.82,22.71,0.146,0.00003,-4.528,0.00003,0.00000,60.0,
,B04,FAM,,Unkn-02,,,22.61,22.71,0.146,0.00003,-4.477,0.00003,0.00000,60.0,
,B05,FAM,,Unkn-10,,,38.12,38.12,0.000,0.00000,-8.293,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,20.96,20.92,0.064,0.00008,-4.071,0.00009,0.00000,60.0,
,B08,FAM,,Unkn-18,,,20.87,20.92,0.064,0.00009,-4.049,0.00009,0.00000,60.0,
,B09,FAM,,Unkn-26,,,19.61,19.59,0.033,0.00018,-3.739,0.00018,0.00000,60.0,
,B10,FAM,,Unkn-26,,,19.57,19.59,0.033,0.00019,-3.727,0.00018,0.00000,60.0,
,B11,FAM,,Unkn-33,,,27.75,27.79,0.050,0.00000,-5.743,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,27.82,27.79,0.050,0.00000,-5.760,0.00000,0.00000,60.0,
,C01,FAM,,Std-03,,,17.39,17.26,0.185,0.00100,-3.000,0.00100,0.00000,60.0,
,C02,FAM,,Std-03,,,17.13,17.26,0.185,0.00100,-3.000,0.00100,0.00000,60.0,
,C03,FAM,,Unkn-03,,,36.16,37.14,1.395,0.00000,-7.811,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,38.13,37.14,1.395,0.00000,-8.296,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,21.63,21.61,0.036,0.00006,-4.236,0.00006,0.00000,60.0,
,C06,FAM,,Unkn-11,,,21.58,21.61,0.036,0.00006,-4.224,0.00006,0.00000,60.0,
,C07,FAM,,Unkn-19,,,23.35,23.24,0.159,0.00002,-4.659,0.00002,0.00000,60.0,
,C08,FAM,,Unkn-19,,,23.12,23.24,0.159,0.00002,-4.603,0.00002,0.00000,60.0,
,C09,FAM,,Unkn-27,,,36.31,36.37,0.076,0.00000,-7.849,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,36.42,36.37,0.076,0.00000,-7.876,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,24.04,23.99,0.067,0.00001,-4.829,0.00002,0.00000,60.0,
,C12,FAM,,Unkn-34,,,23.95,23.99,0.067,0.00002,-4.805,0.00002,0.00000,60.0,
,D03,FAM,,Unkn-04,,,27.07,26.91,0.225,0.00000,-5.574,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,26.75,26.91,0.225,0.00000,-5.495,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,31.47,31.47,0.004,0.00000,-6.658,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,31.48,31.47,0.004,0.00000,-6.659,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,34.41,34.59,0.250,0.00000,-7.382,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,34.77,34.59,0.250,0.00000,-7.469,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,19.34,19.36,0.036,0.00021,-3.671,0.00021,0.00000,60.0,
,D10,FAM,,Unkn-28,,,19.39,19.36,0.036,0.00021,-3.684,0.00021,0.00000,60.0,
