,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,7.38,7.38,0.000,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,7.38,7.38,0.000,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,27.02,26.93,0.119,0.00000,-5.814,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,26.85,26.93,0.119,0.00000,-5.772,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,28.69,28.61,0.108,0.00000,-6.228,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,28.53,28.61,0.108,0.00000,-6.190,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,27.19,26.61,0.813,0.00000,-5.856,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,26.04,26.61,0.813,0.00000,-5.571,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,10.97,10.99,0.028,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.01,10.99,0.028,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,33.75,33.82,0.109,0.00000,-7.483,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,33.90,33.82,0.109,0.00000,-7.521,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,33.04,33.03,0.017,0.00000,-7.308,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,33.02,33.03,0.017,0.00000,-7.302,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,31.39,31.50,0.149,0.00000,-6.899,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,31.60,31.50,0.149,0.00000,-6.951,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,23.94,23.93,0.011,0.00001,-5.050,0.00001,0.00000,60.0,
,B10,FAM,,Unkn-26,,,23.92,23.93,0.011,0.00001,-5.046,0.00001,0.00000,60.0,
,B11,FAM,,Unkn-33,,,34.01,33.82,0.266,0.00000,-7.547,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,33.63,33.82,0.266,0.00000,-7.454,0.00000,0.00000,60.0,
,C01,FAM,,Std-03,,,16.88,16.75,0.189,0.00100,-3.000,0.00100,0.00000,60.0,
,C02,FAM,,Std-03,,,16.62,16.75,0.189,0.00100,-3.000,0.00100,0.00000,60.0,
,C03,FAM,,Unkn-03,,,28.34,28.30,0.067,0.00000,-6.143,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,28.25,28.30,0.067,0.00000,-6.119,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,39.86,39.86,0.000,0.00000,-9.000,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,21.15,20.95,0.290,0.00004,-4.360,0.00005,0.00001,60.0,
,C08,FAM,,Unkn-19,,,20.74,20.95,0.290,0.00006,-4.258,0.00005,0.00001,60.0,
,C09,FAM,,Unkn-27,,,34.60,34.53,0.110,0.00000,-7.696,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,34.45,34.53,0.110,0.00000,-7.657,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,35.40,35.22,0.258,0.00000,-7.893,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,35.04,35.22,0.258,0.00000,-7.803,0.00000,0.00000,60.0,
,D03,FAM,,Unkn-04,,,22.68,22.55,0.182,0.00002,-4.738,0.00002,0.00000,60.0,
,D04,FAM,,Unkn-04,,,22.42,22.55,0.182,0.00002,-4.674,0.00002,0.00000,60.0,
,D05,FAM,,Unkn-12,,,36.88,36.46,0.599,0.00000,-8.260,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,36.03,36.46,0.599,0.00000,-8.050,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,24.53,24.41,0.167,0.00001,-5.197,0.00001,0.00000,60.0,
,D08,FAM,,Unkn-20,,,24.30,24.41,0.167,0.00001,-5.138,0.00001,0.00000,60.0,
,D09,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-28,,,37.31,37.31,0.000,0.00000,-8.367,0.00000,0.00000,60.0,
,D11,FAM,,Unkn-35,,,31.81,31.67,0.185,0.00000,-7.001,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-35,,,31.54,31.67,0.185,0.00000,-6.937,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,23.75,23.62,0.183,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,23.49,23.62,0.183,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,27.20,27.19,0.026,0.00000,-5.860,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,27.17,27.19,0.026,0.00000,-5.851,0.00000,0.00000,60.0,
,E05,FAM,,Unkn-13,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E06,FAM,,Unkn-13,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E07,FAM,,Unkn-21,,,25.45,25.35,0.138,0.00000,-5.424,0.00000,0.00000,60.0,
,E08,FAM,,Unkn-21,,,25.25,25.35,0.138,0.00000,-5.376,0.00000,0.00000,60.0,
,E09,FAM,,Unkn-29,,,22.47,22.52,0.065,0.00002,-4.686,0.00002,0.00000,60.0,
,E10,FAM,,Unkn-29,,,22.56,22.52,0.065,0.00002,-4.709,0.00002,0.00000,60.0,
,E11,FAM,,Unkn-36,,,24.27,24.26,0.018,0.00001,-5.133,0.00001,0.00000,60.0,
,E12,FAM,,Unkn-36,,,24.25,24.26,0.018,0.00001,-5.126,0.00001,0.00000,60.0,
,F01,FAM,,Std-06,,,28.40,28.35,0.064,0.00000,-6.000,0.00000,0.00000,60.0,
,F02,FAM,,Std-06,,,28.31,28.35,0.064,0.00000,-6.000,0.00000,0.00000,60.0,
,F03,FAM,,Unkn-06,,,36.23,36.23,0.000,0.00000,-8.099,0.00000,0.00000,60.0,
,F04,FAM,,Unkn-06,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F05,FAM,,Unkn-14,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F06,FAM,,Unkn-14,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F07,FAM,,Unkn-22,,,29.61,29.56,0.068,0.00000,-6.457,0.00000,0.00000,60.0,
,F08,FAM,,Unkn-22,,,29.51,29.56,0.068,0.00000,-6.433,0.00000,0.00000,60.0,
,F09,FAM,,Unkn-30,,,31.87,32.03,0.230,0.00000,-7.016,0.00000,0.00000,60.0,
,F10,FAM,,Unkn-30,,,32.19,32.03,0.230,0.00000,-7.097,0.00000,0.00000,60.0,
