,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A03,FAM,,Unkn-01,,,27.53,27.04,0.693,0.00000,-5.802,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,26.55,27.04,0.693,0.00000,-5.559,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,29.25,29.21,0.061,0.00000,-6.228,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,29.17,29.21,0.061,0.00000,-6.207,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,25.75,25.71,0.047,0.00000,-5.362,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,25.68,25.71,0.047,0.00000,-5.345,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,37.28,37.28,0.000,0.00000,-8.213,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,11.83,11.76,0.093,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.70,11.76,0.093,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,31.10,30.91,0.269,0.00000,-6.684,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,30.72,30.91,0.269,0.00000,-6.590,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,25.09,25.07,0.025,0.00001,-5.198,0.00001,0.00000,60.0,
,B06,FAM,,Unkn-10,,,25.05,25.07,0.025,0.00001,-5.190,0.00001,0.00000,60.0,
,B07,FAM,,Unkn-18,,,39.01,39.01,0.000,0.00000,-8.639,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,25.37,25.40,0.053,0.00001,-5.268,0.00001,0.00000,60.0,
,B10,FAM,,Unkn-26,,,25.44,25.40,0.053,0.00001,-5.286,0.00001,0.00000,60.0,
,B11,FAM,,Unkn-33,,,39.05,39.05,0.000,0.00000,-8.649,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-03,,,39.05,39.05,0.000,0.00000,-8.650,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,26.18,26.14,0.060,0.00000,-5.470,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,26.10,26.14,0.060,0.00000,-5.449,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,26.00,26.02,0.027,0.00000,-5.424,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,26.04,26.02,0.027,0.00000,-5.433,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,24.98,24.97,0.008,0.00001,-5.171,0.00001,0.00000,60.0,
,C12,FAM,,Unkn-34,,,24.96,24.97,0.008,0.00001,-5.168,0.00001,0.00000,60.0,
,D01,FAM,,Std-04,,,20.91,21.00,0.126,0.00010,-4.000,0.00010,0.00000,60.0,
,D02,FAM,,Std-04,,,21.09,21.00,0.126,0.00010,-4.000,0.00010,0.00000,60.0,
,D03,FAM,,Unkn-04,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,26.89,26.73,0.223,0.00000,-5.645,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,26.58,26.73,0.223,0.00000,-5.567,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,38.52,38.52,0.000,0.00000,-8.519,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-28,,,39.37,39.37,0.000,0.00000,-8.729,0.00000,0.00000,60.0,
,D11,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,23.72,23.71,0.011,0.00001,-5.000,0.00001,0.00000,60.0,
,E02,FAM,,Std-05,,,23.71,23.71,0.011,0.00001,-5.000,0.00001,0.00000,60.0,
,E03,FAM,,Unkn-05,,,26.02,25.88,0.198,0.00000,-5.429,0.00000,0.00000,60.0,
,E04,FAM,,Unkn-05,,,25.74,25.88,0.198,0.00000,-5.360,0.00000,0.00000,60.0,
,E05,FAM,,Unkn-13,,,22.83,22.86,0.044,0.00002,-4.640,0.00002,0.00000,60.0,
