,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A03,FAM,,Unkn-09,,,26.42,26.62,0.277,0.00000,-6.012,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-09,,,26.81,26.62,0.277,0.00000,-6.121,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-17,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-17,,,37.52,37.52,0.000,0.00000,-9.098,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-25,,,33.96,34.00,0.050,0.00000,-8.110,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-25,,,34.04,34.00,0.050,0.00000,-8.130,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-33,,,23.47,23.54,0.099,0.00001,-5.193,0.00001,0.00000,60.0,
,A10,FAM,,Unkn-33,,,23.61,23.54,0.099,0.00001,-5.232,0.00001,0.00000,60.0,
,A11,FAM,,Neg Ctrl,,,37.67,37.67,0.000,0.00000,-9.140,0.00000,0.00000,60.0,
,A12,FAM,,Neg Ctrl,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,11.75,11.72,0.053,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.68,11.72,0.053,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-10,,,33.05,33.39,0.469,0.00000,-7.857,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-10,,,33.72,33.39,0.469,0.00000,-8.041,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-18,,,37.16,37.16,0.000,0.00000,-8.997,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-18,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-26,,,34.61,34.70,0.132,0.00000,-8.289,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-26,,,34.79,34.70,0.132,0.00000,-8.341,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-34,,,35.22,35.22,0.000,0.00000,-8.459,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-41,,,27.73,27.77,0.056,0.00000,-6.377,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-41,,,27.81,27.77,0.056,0.00000,-6.399,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-11,,,24.49,24.59,0.142,0.00000,-5.476,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-11,,,24.69,24.59,0.142,0.00000,-5.532,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-19,,,35.85,35.97,0.178,0.00000,-8.633,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-19,,,36.10,35.97,0.178,0.00000,-8.703,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-27,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-35,,,34.73,34.72,0.016,0.00000,-8.322,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-35,,,34.70,34.72,0.016,0.00000,-8.316,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-42,,,28.28,28.28,0.002,0.00000,-6.530,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-42,,,28.29,28.28,0.002,0.00000,-6.531,0.00000,0.00000,60.0,
,D01,FAM,,Std-04,,,19.84,19.84,0.000,0.00010,-4.000,0.00010,0.00000,60.0,
,D02,FAM,,Std-04,,,19.84,19.84,0.000,0.00010,-4.000,0.00010,0.00000,60.0,
,D03,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-20,,,32.00,32.05,0.066,0.00000,-7.564,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-20,,,32.09,32.05,0.066,0.00000,-7.590,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-28,,,35.26,35.65,0.548,0.00000,-8.471,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-28,,,36.04,35.65,0.548,0.00000,-8.686,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-36,,,35.23,34.95,0.399,0.00000,-8.462,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-36,,,34.67,34.95,0.399,0.00000,-8.306,0.00000,0.00000,60.0,
,D11,FAM,,Unkn-43,,,29.05,29.21,0.226,0.00000,-6.743,0.00000,0.00000,60.0,
,D12,FAM,,Unkn-43,,,29.37,29.21,0.226,0.00000,-6.832,0.00000,0.00000,60.0,
,E01,FAM,,Std-05,,,22.60,22.56,0.054,0.00001,-5.000,0.00001,0.00000,60.0,
