,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A03,FAM,,Unkn-01,,,36.58,37.42,1.188,0.00000,-7.804,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,38.26,37.42,1.188,0.00000,-8.202,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,23.44,22.93,0.721,0.00002,-4.693,0.00003,0.00001,60.0,
,A06,FAM,,Unkn-09,,,22.42,22.93,0.721,0.00004,-4.451,0.00003,0.00001,60.0,
,A07,FAM,,Unkn-17,,,33.43,33.51,0.118,0.00000,-7.058,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,33.60,33.51,0.118,0.00000,-7.097,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,38.82,38.82,0.000,,,,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,12.34,11.95,0.558,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.55,11.95,0.558,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,23.11,23.11,0.007,0.00002,-4.614,0.00002,0.00000,60.0,
,B04,FAM,,Unkn-02,,,23.12,23.11,0.007,0.00002,-4.617,0.00002,0.00000,60.0,
,B05,FAM,,Unkn-10,,,30.19,30.01,0.261,0.00000,-6.291,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,29.82,30.01,0.261,0.00000,-6.204,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,28.91,28.83,0.116,0.00000,-5.989,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,28.75,28.83,0.116,0.00000,-5.950,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,38.92,39.28,0.511,0.00000,-8.357,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,39.64,39.28,0.511,0.00000,-8.528,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,39.29,39.29,0.000,0.00000,-8.446,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-03,,,38.78,38.78,0.000,0.00000,-8.325,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,36.65,36.25,0.556,0.00000,-7.820,0.00000,0.00000,60.0,
,C06,FAM,,Unkn-11,,,35.86,36.25,0.556,0.00000,-7.634,0.00000,0.00000,60.0,
,C07,FAM,,Unkn-19,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,29.91,29.87,0.060,0.00000,-6.225,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,29.83,29.87,0.060,0.00000,-6.205,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,36.70,36.70,0.000,0.00000,-7.832,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D01,FAM,,Std-04,,,20.92,20.85,0.102,0.00010,-4.000,0.00010,0.00000,60.0,
