,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,7.65,7.69,0.057,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,7.73,7.69,0.057,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,33.06,33.09,0.035,0.00000,-6.620,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,33.11,33.09,0.035,0.00000,-6.631,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,26.10,26.14,0.055,0.00001,-5.070,0.00001,0.00000,60.0,
,A06,FAM,,Unkn-09,,,26.18,26.14,0.055,0.00001,-5.088,0.00001,0.00000,60.0,
,A07,FAM,,Unkn-17,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,12.14,12.06,0.114,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.98,12.06,0.114,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,25.54,25.62,0.112,0.00001,-4.947,0.00001,0.00000,60.0,
,B04,FAM,,Unkn-02,,,25.70,25.62,0.112,0.00001,-4.982,0.00001,0.00000,60.0,
,B05,FAM,,Unkn-10,,,34.56,35.25,0.986,0.00000,-6.952,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,35.95,35.25,0.986,0.00000,-7.263,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,28.30,28.27,0.048,0.00000,-5.561,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,28.23,28.27,0.048,0.00000,-5.545,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,34.98,34.86,0.172,0.00000,-7.047,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,34.74,34.86,0.172,0.00000,-6.993,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,28.56,28.72,0.227,0.00000,-5.619,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,28.88,28.72,0.227,0.00000,-5.690,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-03,,,28.42,28.40,0.028,0.00000,-5.586,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,28.38,28.40,0.028,0.00000,-5.577,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,22.38,22.45,0.103,0.00006,-4.243,0.00006,0.00000,60.0,
,C06,FAM,,Unkn-11,,,22.52,22.45,0.103,0.00005,-4.275,0.00006,0.00000,60.0,
,C07,FAM,,Unkn-19,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,31.35,31.52,0.248,0.00000,-6.238,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,31.70,31.52,0.248,0.00000,-6.316,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,23.18,22.97,0.308,0.00004,-4.422,0.00004,0.00001,60.0,
,C12,FAM,,Unkn-34,,,22.75,22.97,0.308,0.00005,-4.325,0.00004,0.00001,60.0,
