,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,7.06,6.90,0.232,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,6.73,6.90,0.232,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,27.40,27.36,0.054,0.00000,-6.056,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,27.32,27.36,0.054,0.00000,-6.038,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,38.44,37.85,0.830,0.00000,-8.774,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,37.27,37.85,0.830,0.00000,-8.486,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,27.19,27.14,0.068,0.00000,-6.006,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,27.10,27.14,0.068,0.00000,-5.982,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,34.23,34.94,1.005,0.00000,-7.738,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,35.65,34.94,1.005,0.00000,-8.087,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,37.29,37.29,0.000,0.00000,-8.491,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,20.15,20.10,0.072,0.00005,-4.273,0.00005,0.00000,60.0,
,B06,FAM,,Unkn-10,,,20.05,20.10,0.072,0.00006,-4.248,0.00005,0.00000,60.0,
,B07,FAM,,Unkn-18,,,25.09,25.05,0.051,0.00000,-5.488,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,25.02,25.05,0.051,0.00000,-5.471,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,37.56,37.64,0.108,0.00000,-8.559,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,37.72,37.64,0.108,0.00000,-8.596,0.00000,0.00000,60.0,
