,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,,,7.93,7.88,0.066,0.10000,-1.000,0.10000,0.00000,60.0,
,A02,FAM,,Std-01,,,7.83,7.88,0.066,0.10000,-1.000,0.10000,0.00000,60.0,
,A03,FAM,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,26.30,26.27,0.046,0.00000,-5.540,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,26.24,26.27,0.046,0.00000,-5.524,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,22.13,22.13,0.004,0.00003,-4.523,0.00003,0.00000,60.0,
,A08,FAM,,Unkn-17,,,22.14,22.13,0.004,0.00003,-4.525,0.00003,0.00000,60.0,
,A09,FAM,,Unkn-25,,,37.13,37.18,0.069,0.00000,-8.181,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,37.23,37.18,0.069,0.00000,-8.205,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,11.74,11.69,0.074,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.63,11.69,0.074,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B04,FAM,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B05,FAM,,Unkn-10,,,29.02,28.99,0.036,0.00000,-6.202,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,28.96,28.99,0.036,0.00000,-6.189,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,26.96,26.97,0.015,0.00000,-5.699,0.00000,0.00000,60.0,
,B08,FAM,,Unkn-18,,,26.98,26.97,0.015,0.00000,-5.704,0.00000,0.00000,60.0,
,B09,FAM,,Unkn-26,,,25.40,25.37,0.045,0.00000,-5.320,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,25.33,25.37,0.045,0.00000,-5.304,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,32.66,32.50,0.221,0.00000,-7.090,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,32.35,32.50,0.221,0.00000,-7.014,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-03,,,29.87,29.87,0.002,0.00000,-6.411,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,29.87,29.87,0.002,0.00000,-6.410,0.00000,0.00000,60.0,
,C05,FAM,,Unkn-11,,,23.03,23.04,0.005,0.00002,-4.744,0.00002,0.00000,60.0,
,C06,FAM,,Unkn-11,,,23.04,23.04,0.005,0.00002,-4.746,0.00002,0.00000,60.0,
,C07,FAM,,Unkn-19,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C08,FAM,,Unkn-19,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C09,FAM,,Unkn-27,,,38.57,39.23,0.925,0.00000,-8.532,0.00000,0.00000,60.0,
,C10,FAM,,Unkn-27,,,39.88,39.23,0.925,0.00000,-8.851,0.00000,0.00000,60.0,
,C11,FAM,,Unkn-34,,,26.73,26.49,0.341,0.00000,-5.644,0.00000,0.00000,60.0,
,C12,FAM,,Unkn-34,,,26.25,26.49,0.341,0.00000,-5.527,0.00000,0.00000,60.0,
,D03,FAM,,Unkn-04,,,26.44,26.48,0.058,0.00000,-5.574,0.00000,0.00000,60.0,
,D04,FAM,,Unkn-04,,,26.52,26.48,0.058,0.00000,-5.594,0.00000,0.00000,60.0,
,D05,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D06,FAM,,Unkn-12,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D07,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D08,FAM,,Unkn-20,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D09,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D10,FAM,,Unkn-28,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D11,FAM,,Unkn-35,,,,0.00,0.000,,,0.00000,0.00000,60.0,
